,Open,High,Low,Close,open,high,low,close,RSI,MACD,MACD_signal,ATR,STOCH_K,STOCH_D,BB_upper,BB_middle,BB_lower,momentum,volatility,return_1,return_2,return_3,return_5,return_10
2014-11-07,26.399,26.497,26.346,26.433,,,,,,,,,,,,,,,,,,,,
2014-11-10,26.464,26.562,26.33,26.368,,,,,,,,,,,,,,,,,,,,
2014-11-11,26.506,26.645,26.506,26.611,,,,,,,,,,,,,,,,,,,,
2014-11-12,26.608,26.749,26.549,26.665,,,,,,,,,,,,,,,,,,,,
2014-11-13,26.655,26.798,26.561,26.69,,,,,,,,,,,,,,,,,,,,
2014-11-14,26.691,26.989,26.548,26.936,,,,,,,,,,,,,,,,,,,,
2014-11-17,26.964,27.073,26.704,26.75,,,,,,,,,,,,,,,,,,,,
2014-11-18,26.735,26.87,26.699,26.824,,,,,,,,,,,,,,,,,,,,
2014-11-19,26.809,26.816,26.579,26.579,,,,,,,,,,,,,,,,,,,,
2014-11-20,26.584,26.73,26.514,26.674,,,,,,,,,,,,,,,,,,,,
2014-11-21,26.664,26.943,26.598,26.779,,,,,,,,,,,,,,,,,,,,
2014-11-24,26.684,26.744,26.654,26.725,,,,,,,,,,,,,,,,,,,,
2014-11-25,26.716,26.725,26.234,26.428,,,,,,,,,,,,,,,,,,,,
2014-11-26,26.432,26.511,26.224,26.428,,,,,,,,,,,,,,,,,,,,
2014-11-27,26.411,26.603,26.343,26.447,,,,,,,,,,,,,,,,,,,,
2014-11-28,26.306,26.479,26.272,26.392,,,,,,,,,,,,,,,,,,,,
2014-12-01,26.298,26.496,26.137,26.392,,,,,,,,,,,,,,,,,,,,
2014-12-02,26.397,26.503,26.226,26.309,,,,,,,,,,,,,,,,,,,,
2014-12-03,26.308,26.352,26.098,26.141,,,,,,,,,,,,,,,,,,,,
2014-12-04,26.143,26.224,26.01,26.115,,,,,,,,,,,,,,,,,,,,
2014-12-05,26.121,26.149,25.93,26.032,,,,,,,,,,,,,,,,,,,,
2014-12-08,25.92,26.029,25.777,25.872,,,,,,,,,,,,,,,,,,,,
2014-12-09,25.878,26.073,25.664,25.875,,,,,,,,,,,,,,,,,,,,
2014-12-10,25.865,26.038,25.802,25.991,,,,,,,,,,,,,,,,,,,,
2014-12-11,25.972,26.113,25.717,25.819,,,,,,,,,,,,,,,,,,,,
2014-12-12,25.818,25.952,25.734,25.825,,,,,,,,,,,,,,,,,,,,
2014-12-15,25.838,25.872,25.646,25.735,,,,,,,,,,,,,,,,,,,,
2014-12-16,25.734,25.821,25.655,25.708,,,,,,,,,,,,,,,,,,,,
2014-12-17,25.697,25.801,25.417,25.461,,,,,,,,,,,,,,,,,,,,
2014-12-18,25.492,25.765,25.421,25.694,,,,,,,,,,,,,,,,,,,,
2014-12-19,25.683,25.791,25.594,25.673,,,,,,,,,,,,,,,,,,,,
2014-12-22,25.642,25.798,25.592,25.698,,,,,,,,,,,,,,,,,,,,
2014-12-23,25.688,25.801,25.635,25.746,,,,,,,,,,,,,,,,,,,,
2014-12-24,25.752,25.891,25.749,25.849,,,,,,,,,,,,,,,,,,,,
2014-12-25,25.848,25.879,25.721,25.859,,,,,,,,,,,,,,,,,,,,
2014-12-26,25.738,25.889,25.706,25.864,,,,,,,,,,,,,,,,,,,,
