,Open,High,Low,Close
2014-11-07,27.01,27.079,26.925,27.026
2014-11-10,27.031,27.067,26.866,26.879
2014-11-11,27.001,27.028,26.951,26.992
2014-11-12,26.999,27.119,26.952,27.03
2014-11-13,27.031,27.08,26.903,26.944
2014-11-14,26.941,27.326,26.883,27.276
2014-11-17,27.267,27.312,27.105,27.19
2014-11-18,27.194,27.286,27.144,27.228
2014-11-19,27.193,27.311,27.128,27.247
2014-11-20,27.242,27.392,27.192,27.355
2014-11-21,27.355,27.603,27.283,27.492
2014-11-24,27.473,27.521,27.398,27.486
2014-11-25,27.486,27.563,27.175,27.52
2014-11-26,27.514,27.553,27.368,27.499
2014-11-27,27.494,27.495,27.199,27.282
2014-11-28,27.222,27.305,27.1,27.165
2014-12-01,27.139,27.466,27.059,27.452
2014-12-02,27.455,27.458,27.239,27.307
2014-12-03,27.295,27.454,27.255,27.404
2014-12-04,27.405,27.447,27.314,27.37
2014-12-05,27.368,27.394,27.221,27.356
2014-12-08,27.283,27.364,27.102,27.166
2014-12-09,27.166,27.34,27.092,27.266
2014-12-10,27.262,27.281,27.133,27.208
2014-12-11,27.204,27.27,27.045,27.106
2014-12-12,27.108,27.197,26.952,27.046
2014-12-15,27.063,27.12,26.766,26.877
2014-12-16,26.882,26.931,26.758,26.887
2014-12-17,26.893,27.085,26.856,26.922
2014-12-18,26.92,27.159,26.882,27.145
2014-12-19,27.139,27.19,27.068,27.151
2014-12-22,27.139,27.271,27.075,27.179
2014-12-23,27.18,27.38,27.115,27.321
2014-12-24,27.321,27.43,27.298,27.398
2014-12-25,27.396,27.422,27.27,27.394
2014-12-26,27.3,27.438,27.234,27.388
2014-12-30,27.279,27.394,27.224,27.328
2014-12-31,27.328,27.404,27.211,27.326
2015-01-01,27.312,27.355,27.297,27.336
2015-01-02,27.335,27.335,26.972,26.983
2015-01-05,26.921,27.288,26.92,27.244
2015-01-06,27.248,27.295,27.036,27.044
2015-01-07,27.038,27.115,26.949,27.106
2015-01-08,27.109,27.126,26.994,27.054
2015-01-09,27.052,27.106,26.887,26.921
2015-01-12,26.972,26.986,26.66,26.666
2015-01-13,26.665,26.742,26.563,26.672
2015-01-14,26.674,26.715,26.447,26.601
2015-01-15,26.606,26.886,26.465,26.488
2015-01-16,26.484,26.493,26.206,26.313
2015-01-19,26.329,26.414,26.284,26.404
2015-01-20,26.376,26.492,26.041,26.183
2015-01-21,26.128,26.242,25.42,25.544
2015-01-22,25.541,25.55,25.32,25.329
2015-01-23,25.378,25.41,25.15,25.192
2015-01-26,25.129,25.275,25.079,25.092
2015-01-27,25.142,25.146,24.842,25.11
2015-01-28,25.107,25.189,24.907,24.912
2015-01-29,24.917,25.203,24.917,25.038
2015-01-30,25.042,25.061,24.702,24.94
2015-02-02,25.01,25.204,24.781,25.148
2015-02-03,25.137,25.485,24.958,25.39
2015-02-04,25.384,25.424,24.983,25.029
2015-02-05,25.027,25.452,24.941,25.373
2015-02-06,25.287,25.43,25.023,25.217
2015-02-09,25.242,25.425,25.155,25.351
2015-02-10,25.348,25.382,25.034,25.084
2015-02-11,25.101,25.109,24.935,25.073
2015-02-12,25.077,25.264,24.942,25.081
2015-02-13,25.079,25.256,25.066,25.236
2015-02-16,25.222,25.321,25.042,25.232
2015-02-17,25.206,25.528,25.206,25.492
2015-02-18,25.493,25.555,25.369,25.457
2015-02-19,25.456,25.49,25.275,25.375
2015-02-20,25.374,25.44,25.315,25.403
2015-02-23,25.363,25.363,25.181,25.263
2015-02-24,25.266,25.424,25.033,25.353
2015-02-25,25.36,25.431,25.219,25.339
2015-02-26,25.339,25.363,25.03,25.075
2015-02-27,25.069,25.211,25.046,25.071
2015-03-02,25.087,25.2,25.023,25.07
2015-03-03,25.077,25.278,25.014,25.082
2015-03-04,25.085,25.327,25.059,25.287
2015-03-05,25.293,25.366,25.175,25.223
2015-03-06,25.224,25.271,25.004,25.039
2015-03-09,25.061,25.117,24.95,25.007
2015-03-10,25.009,25.163,24.935,25.017
2015-03-11,25.017,25.031,24.792,24.873
2015-03-12,24.886,25.049,24.808,24.887
2015-03-13,24.889,24.916,24.719,24.808
2015-03-16,24.774,24.882,24.662,24.822
2015-03-17,24.824,24.833,24.668,24.684
2015-03-18,24.689,25.158,24.618,24.926
2015-03-19,24.932,25.022,24.675,24.788
2015-03-20,24.788,25.077,24.741,25.018
2015-03-23,24.967,25.09,24.876,25.08
2015-03-24,25.074,25.117,24.927,24.975
2015-03-25,24.98,25.07,24.931,24.974
2015-03-26,24.971,25.181,24.947,25.024
2015-03-27,25.033,25.097,24.741,24.743
2015-03-30,24.756,24.823,24.613,24.694
2015-03-31,24.689,24.719,24.544,24.669
2015-04-01,24.67,24.877,24.627,24.804
2015-04-02,24.804,24.841,24.672,24.746
2015-04-03,24.746,25.002,24.697,24.788
2015-04-06,24.795,24.851,24.733,24.804
2015-04-07,24.788,24.96,24.761,24.869
2015-04-08,24.869,25.032,24.767,24.787
2015-04-09,24.775,24.845,24.735,24.792
2015-04-10,24.785,24.878,24.695,24.871
2015-04-13,24.863,24.92,24.736,24.879
2015-04-14,24.879,25.065,24.789,25.009
2015-04-15,24.997,25.441,24.85,25.426
2015-04-16,25.416,25.653,25.299,25.534
2015-04-17,25.541,25.595,25.296,25.354
2015-04-20,25.416,25.532,25.347,25.434
2015-04-21,25.432,25.45,25.255,25.325
2015-04-22,25.379,25.444,25.287,25.365
2015-04-23,25.367,25.62,25.314,25.537
2015-04-24,25.515,25.593,25.242,25.3
2015-04-27,25.284,25.336,25.098,25.288
2015-04-28,25.288,25.4,25.147,25.368
2015-04-29,25.366,25.514,25.282,25.38
2015-04-30,25.368,25.503,25.294,25.426
2015-05-01,25.368,25.378,25.096,25.251
2015-05-04,25.266,25.43,25.177,25.422
2015-05-05,25.397,25.611,25.285,25.453
2015-05-06,25.45,25.633,25.358,25.45
2015-05-07,25.45,25.522,25.305,25.443
2015-05-08,25.423,25.473,25.299,25.425
2015-05-11,25.389,25.513,25.305,25.453
2015-05-12,25.451,25.709,25.376,25.649
2015-05-13,25.648,25.776,25.5,25.662
2015-05-14,25.663,25.715,25.425,25.479
2015-05-15,25.482,25.507,25.271,25.396
2015-05-18,25.313,25.325,25.051,25.087
2015-05-19,25.082,25.122,24.882,24.931
2015-05-20,24.925,25.11,24.893,25.068
2015-05-21,25.066,25.087,24.859,24.962
2015-05-22,24.961,25.017,24.744,24.831
2015-05-25,24.762,24.844,24.748,24.757
2015-05-26,24.765,24.846,24.631,24.704
2015-05-27,24.703,24.707,24.573,24.666
2015-05-28,24.597,24.7,24.483,24.697
2015-05-29,24.697,24.799,24.624,24.766
2015-06-01,24.753,24.764,24.552,24.624
2015-06-02,24.648,24.963,24.618,24.88
2015-06-03,24.88,24.912,24.706,24.781
2015-06-04,24.775,24.809,24.703,24.738
2015-06-05,24.738,25.02,24.63,25.009
2015-06-08,24.978,25.198,24.765,25.102
2015-06-09,25.097,25.32,25.006,25.206
2015-06-10,25.206,25.347,25.111,25.223
2015-06-11,25.219,25.241,25.102,25.19
2015-06-12,25.189,25.348,25.09,25.126
2015-06-15,25.147,25.178,24.995,25.141
2015-06-16,25.092,25.183,25.05,25.171
2015-06-17,25.169,25.327,25.067,25.313
2015-06-18,25.314,25.319,25.08,25.132
2015-06-19,25.13,25.206,24.994,25.112
2015-06-22,25.051,25.175,24.935,24.985
2015-06-23,24.996,25.105,24.939,25.077
2015-06-24,25.078,25.171,24.939,24.971
2015-06-25,25.01,25.152,24.922,25.125
2015-06-26,25.125,25.198,25.005,25.18
2015-06-29,25.118,25.174,24.923,24.944
2015-06-30,24.947,25.026,24.705,24.78
2015-07-01,24.776,24.782,24.585,24.599
2015-07-02,24.586,24.66,24.516,24.654
2015-07-03,24.647,24.651,24.561,24.635
2015-07-06,24.572,24.631,24.437,24.477
2015-07-07,24.48,24.515,24.237,24.468
2015-07-08,24.468,24.514,24.317,24.368
2015-07-09,24.373,24.579,24.354,24.44
2015-07-10,24.444,24.516,24.324,24.504
2015-07-13,24.427,24.506,24.306,24.502
2015-07-14,24.403,24.411,24.25,24.392
2015-07-15,24.38,24.385,24.015,24.065
2015-07-16,24.072,24.151,24.003,24.054
2015-07-17,24.042,24.051,23.913,24.014
2015-07-20,23.948,24.122,23.924,24.064
2015-07-21,24.027,24.164,23.978,24.126
2015-07-22,24.125,24.133,23.94,24.004
2015-07-23,24.004,24.087,23.918,23.957
2015-07-24,24.033,24.201,23.976,24.189
2015-07-27,24.118,24.342,24.116,24.263
2015-07-28,24.204,24.357,24.14,24.333
2015-07-29,24.317,24.421,24.248,24.3
2015-07-30,24.304,24.361,24.214,24.304
2015-07-31,24.304,24.389,24.137,24.142
2015-08-03,24.14,24.199,24.002,24.13
2015-08-04,24.129,24.129,23.956,23.971
2015-08-05,23.97,24.168,23.935,24.062
2015-08-06,24.074,24.173,24.016,24.163
2015-08-07,24.162,24.315,24.028,24.184
2015-08-10,24.168,24.375,24.008,24.32
2015-08-11,24.355,24.767,24.245,24.536
2015-08-12,24.557,24.857,24.428,24.803
2015-08-13,24.805,24.868,24.559,24.684
2015-08-14,24.684,24.756,24.545,24.587
2015-08-17,24.57,24.88,24.543,24.83
2015-08-18,24.819,24.909,24.707,24.886
2015-08-19,24.881,24.934,24.672,24.76
2015-08-20,24.758,24.964,24.703,24.954
2015-08-21,24.95,24.987,24.775,24.789
2015-08-24,24.744,25.025,24.658,24.869
2015-08-25,24.748,24.768,24.321,24.333
2015-08-26,24.369,24.511,24.324,24.419
2015-08-27,24.418,24.501,24.304,24.471
2015-08-28,24.457,24.533,24.303,24.529
2015-08-31,24.465,24.808,24.394,24.776
2015-09-01,24.766,24.771,24.493,24.523
2015-09-02,24.456,24.607,24.428,24.518
2015-09-03,24.519,24.762,24.467,24.693
2015-09-04,24.695,24.732,24.596,24.609
2015-09-07,24.632,24.733,24.555,24.558
2015-09-08,24.574,24.726,24.567,24.687
2015-09-09,24.673,24.737,24.499,24.499
2015-09-10,24.506,24.651,24.448,24.513
2015-09-11,24.51,24.595,24.433,24.563
2015-09-14,24.57,24.603,24.471,24.542
2015-09-15,24.521,24.592,24.487,24.556
2015-09-16,24.53,24.697,24.52,24.67
2015-09-17,24.677,24.821,24.534,24.648
2015-09-18,24.643,24.923,24.427,24.427
2015-09-21,24.447,24.742,24.446,24.665
2015-09-22,24.638,24.844,24.627,24.802
2015-09-23,24.801,24.836,24.638,24.711
2015-09-24,24.715,24.977,24.674,24.9
