,Open,High,Low,Close,open,high,low,close,RSI,MACD,MACD_signal,ATR,STOCH_K,STOCH_D,BB_upper,BB_middle,BB_lower,momentum,volatility,return_1,return_2,return_3,return_5,return_10
2014-11-07,31.621,31.716,31.563,31.668,,,,,,,,,,,,,,,,,,,,
2014-11-10,31.72,31.784,31.572,31.58,,,,,,,,,,,,,,,,,,,,
2014-11-11,31.618,31.766,31.618,31.731,,,,,,,,,,,,,,,,,,,,
2014-11-12,31.73,31.855,31.611,31.641,,,,,,,,,,,,,,,,,,,,
2014-11-13,31.627,31.834,31.625,31.794,,,,,,,,,,,,,,,,,,,,
2014-11-14,31.792,32.155,31.655,32.101,,,,,,,,,,,,,,,,,,,,
2014-11-17,32.076,32.174,31.788,31.834,,,,,,,,,,,,,,,,,,,,
2014-11-18,31.836,32.117,31.821,32.09,,,,,,,,,,,,,,,,,,,,
2014-11-19,32.099,32.359,32.024,32.271,,,,,,,,,,,,,,,,,,,,
2014-11-20,32.267,32.362,32.196,32.278,,,,,,,,,,,,,,,,,,,,
2014-11-21,32.274,32.329,31.826,31.831,,,,,,,,,,,,,,,,,,,,
2014-11-24,32.02,32.087,31.995,32.084,,,,,,,,,,,,,,,,,,,,
2014-11-25,32.079,32.132,31.786,32.124,,,,,,,,,,,,,,,,,,,,
2014-11-26,32.12,32.206,31.971,32.18,,,,,,,,,,,,,,,,,,,,
2014-11-27,32.177,32.182,32.011,32.089,,,,,,,,,,,,,,,,,,,,
2014-11-28,31.989,32.235,31.979,32.143,,,,,,,,,,,,,,,,,,,,
2014-12-01,32.078,32.293,32.02,32.219,,,,,,,,,,,,,,,,,,,,
2014-12-02,32.217,32.224,31.958,32.024,,,,,,,,,,,,,,,,,,,,
2014-12-03,32.026,32.04,31.801,31.87,,,,,,,,,,,,,,,,,,,,
2014-12-04,31.869,32.246,31.774,32.084,,,,,,,,,,,,,,,,,,,,
2014-12-05,32.083,32.102,31.811,31.959,,,,,,,,,,,,,,,,,,,,
2014-12-08,31.907,32.002,31.764,31.937,,,,,,,,,,,,,,,,,,,,
2014-12-09,31.942,32.275,31.861,32.114,,,,,,,,,,,,,,,,,,,,
2014-12-10,32.114,32.298,32.062,32.297,,,,,,,,,,,,,,,,,,,,
2014-12-11,32.295,32.42,32.146,32.244,,,,,,,,,,,,,,,,,,,,
2014-12-12,32.258,32.563,32.203,32.493,,,,,,,,,,,,,,,,,,,,
2014-12-15,32.525,32.527,32.316,32.461,,,,,,,,,,,,,,,,,,,,
2014-12-16,32.472,32.633,32.365,32.57,,,,,,,,,,,,,,,,,,,,
2014-12-17,32.569,32.612,32.165,32.188,,,,,,,,,,,,,,,,,,,,
2014-12-18,32.184,32.278,31.913,32.084,,,,,,,,,,,,,,,,,,,,
2014-12-19,32.071,32.185,31.995,32.007,,,,,,,,,,,,,,,,,,,,
2014-12-22,32.002,32.235,31.96,32.135,,,,,,,,,,,,,,,,,,,,
2014-12-23,32.135,32.302,32.067,32.148,,,,,,,,,,,,,,,,,,,,
2014-12-24,32.146,32.318,32.145,32.299,,,,,,,,,,,,,,,,,,,,
2014-12-25,32.3,32.456,32.171,32.369,,,,,,,,,,,,,,,,,,,,
2014-12-26,32.213,32.31,32.122,32.249,,,,,,,,,,,,,,,,,,,,
2014-12-30,32.078,32.217,31.979,32.079,,,,,,,,,,,,,,,,,,,,
2014-12-31,32.081,32.098,31.799,31.909,,,,,,,,,,,,,,,,,,,,
2015-01-01,31.909,31.934,31.901,31.932,,,,,,,,,,,,,,,,,,,,
2015-01-02,31.93,31.93,31.737,31.737,,,,,,,,,,,,,,,,,,,,
2015-01-05,31.56,31.869,31.557,31.817,,,,,,,,,,,,,,,,,,,,
2015-01-06,31.82,31.887,31.64,31.644,,,,,,,,,,,,,,,,,,,,
2015-01-07,31.646,31.665,31.481,31.568,,,,,,,,,,,,,,,,,,,,
2015-01-08,31.563,31.596,31.32,31.427,,,,,,,,,,,,,,,,,,,,
2015-01-09,31.431,31.515,31.302,31.496,,,,,,,,,,,,,,,,,,,,
2015-01-12,31.574,31.58,31.312,31.451,,,,,,,,,,,,,,,,,,,,
2015-01-13,31.437,31.485,31.222,31.253,,,,,,,,,,,,,,,,,,,,
2015-01-14,31.251,31.419,31.047,31.225,,,,,,,,,,,,,,,,,,,,
2015-01-15,31.219,31.223,30.993,31.014,,,,,,,,,,,,,,,,,,,,
2015-01-16,37.012,37.255,35.855,36.623,,,,,,,,,,,,,,,,,,,,
2015-01-19,36.566,36.714,35.823,35.847,,,,,,,,,,,,,,,,,,,,
2015-01-20,35.853,36.39,35.805,36.146,,,,,,,,,,,,,,,,,,,,
2015-01-21,36.17,36.904,35.932,36.594,,,,,,,,,,,,,,,,,,,,
2015-01-22,36.583,36.881,35.928,35.946,,,,,,,,,,,,,,,,,,,,
2015-01-23,36.055,36.113,35.459,35.528,,,,,,,,,,,,,,,,,,,,
2015-01-26,35.491,35.673,34.656,34.672,,,,,,,,,,,,,,,,,,,,
2015-01-27,34.777,34.808,34.101,34.468,,,,,,,,,,,,,,,,,,,,
2015-01-28,34.46,34.76,34.318,34.467,,,,,,,,,,,,,,,,,,,,
