,Open,High,Low,Close
2014-11-07,5.0077,5.0077,4.9938,5.0011
2014-11-10,5.0011,5.0086,4.9899,4.9975
2014-11-11,4.9991,4.9991,4.9909,4.9991
2014-11-12,4.9991,5.0071,4.9799,4.9961
2014-11-13,4.9961,5.0061,4.9824,5.0037
2014-11-14,5.0037,5.0244,4.9863,5.0244
2014-11-17,5.0244,5.0283,5.0021,5.0169
2014-11-18,5.0169,5.027,5.0099,5.027
2014-11-19,5.027,5.0559,5.0243,5.0509
2014-11-20,5.0509,5.0614,5.0428,5.053
2014-11-21,5.053,5.0556,5.0407,5.0422
2014-11-24,5.0426,5.051,5.0396,5.051
2014-11-25,5.051,5.0519,5.0101,5.0487
2014-11-26,5.0487,5.0499,5.0231,5.0402
2014-11-27,5.0402,5.041,5.0214,5.0402
2014-11-28,5.0353,5.0506,5.022,5.0504
2014-12-01,5.0504,5.0641,5.0346,5.0523
2014-12-02,5.0523,5.0769,5.0427,5.065
2014-12-03,5.065,5.0789,5.0526,5.0684
2014-12-04,5.0684,5.0701,5.0523,5.0686
2014-12-05,5.0686,5.0873,5.0506,5.0873
2014-12-08,5.0873,5.1001,5.0415,5.052
2014-12-09,5.052,5.0551,5.0273,5.0436
2014-12-10,5.0436,5.0574,5.0343,5.0563
2014-12-11,5.0563,5.06,5.0414,5.0481
2014-12-12,5.0481,5.0691,5.0373,5.0634
2014-12-15,5.0634,5.065,5.0443,5.0629
2014-12-16,5.0629,5.0629,5.0409,5.0524
2014-12-17,5.0524,5.0592,5.0459,5.0592
2014-12-18,5.0592,5.0649,5.042,5.0602
2014-12-19,5.0602,5.0747,5.0494,5.0662
2014-12-22,5.0662,5.0933,5.0614,5.0841
2014-12-23,5.0841,5.1039,5.0753,5.1023
2014-12-24,5.1023,5.1246,5.0981,5.1246
2014-12-25,5.1246,5.1256,5.1015,5.1246
2014-12-26,5.1229,5.1291,5.0958,5.1246
2014-12-30,5.0883,5.1175,5.088,5.1172
2014-12-31,5.1172,5.1191,5.083,5.1172
2015-01-01,5.1172,5.1172,5.1135,5.1172
2015-01-02,5.1172,5.1252,5.0951,5.1252
2015-01-05,5.1252,5.1582,5.1099,5.1518
2015-01-06,5.1518,5.158,5.1359,5.154
2015-01-07,5.154,5.1593,5.1456,5.1572
2015-01-08,5.1572,5.1572,5.1398,5.1536
2015-01-09,5.1536,5.1585,5.1372,5.1477
2015-01-12,5.1477,5.1551,5.1249,5.1472
2015-01-13,5.1472,5.1487,5.1233,5.1443
2015-01-14,5.1443,5.147,5.1158,5.1351
2015-01-15,5.1351,5.1358,5.1127,5.1235
2015-01-16,5.1235,5.1235,5.0743,5.0801
2015-01-19,5.0801,5.0878,5.0533,5.0694
2015-01-20,5.0694,5.1015,5.065,5.1015
2015-01-21,5.0934,5.101,5.0645,5.0714
2015-01-22,5.0714,5.0714,5.0526,5.0623
2015-01-23,5.0631,5.0685,5.0198,5.0225
2015-01-26,5.0225,5.0326,4.9877,5.0051
2015-01-27,5.016,5.0177,4.9683,4.9839
2015-01-28,4.9839,5.0138,4.9839,4.9979
2015-01-29,5.0307,5.0621,4.9971,5.0597
2015-01-30,5.0597,5.0782,5.0268,5.0766
2015-02-02,5.0766,5.0766,5.0426,5.0515
2015-02-03,5.0515,5.0943,5.0213,5.043
2015-02-04,5.043,5.0459,5.0155,5.0342
2015-02-05,5.0342,5.0581,5.0143,5.0494
2015-02-06,5.033,5.0604,4.9934,5.0604
2015-02-09,5.0604,5.0638,5.037,5.0613
2015-02-10,5.0613,5.0726,5.0342,5.0623
2015-02-11,5.0623,5.0758,5.0365,5.0683
2015-02-12,5.0683,5.0685,5.0079,5.0263
2015-02-13,5.0263,5.0422,5.0202,5.0304
2015-02-16,5.0304,5.0368,4.9961,5.0325
2015-02-17,5.0325,5.0758,5.0279,5.0507
2015-02-18,5.0507,5.069,5.0488,5.069
2015-02-19,5.069,5.0799,5.053,5.0698
2015-02-20,5.0698,5.0831,5.0693,5.0831
2015-02-23,5.0831,5.112,5.0631,5.0778
2015-02-24,5.0778,5.0781,5.0314,5.065
2015-02-25,5.065,5.0726,5.0187,5.035
2015-02-26,5.035,5.0351,4.9879,5.014
2015-02-27,5.014,5.0653,5.0049,5.014
2015-03-02,5.014,5.0237,4.9853,5.0119
2015-03-03,5.0119,5.0119,4.9896,5.0103
2015-03-04,4.9966,5.0138,4.9902,5.0127
2015-03-05,5.0127,5.0307,5.0086,5.0256
2015-03-06,5.0256,5.0454,5.0119,5.0454
2015-03-09,5.0454,5.0454,5.0134,5.0386
2015-03-10,5.0386,5.0668,5.0243,5.0666
2015-03-11,5.0666,5.0943,5.0364,5.0636
2015-03-12,5.062,5.0728,5.0346,5.0453
2015-03-13,5.0453,5.0652,5.0316,5.065
2015-03-16,5.065,5.067,5.0377,5.0638
2015-03-17,5.0638,5.0642,5.04,5.0552
2015-03-18,5.0552,5.0814,5.0119,5.0324
2015-03-19,5.0324,5.0842,5.015,5.0842
2015-03-20,5.0842,5.0889,5.064,5.064
2015-03-23,5.064,5.0689,5.024,5.0478
2015-03-24,5.0478,5.0558,5.0196,5.0333
2015-03-25,5.0333,5.0512,5.0227,5.0337
2015-03-26,5.0337,5.0449,5.0228,5.0311
2015-03-27,5.0311,5.0412,5.0204,5.0204
2015-03-30,5.0204,5.0461,5.0204,5.0446
2015-03-31,5.0446,5.0575,5.0294,5.0459
2015-04-01,5.0459,5.0556,5.0395,5.05
2015-04-02,5.05,5.05,5.0154,5.017
2015-04-03,5.017,5.0472,5.0089,5.0472
2015-04-06,4.9928,5.0492,4.9888,4.9936
2015-04-07,5.0007,5.0306,4.9936,5.0176
2015-04-08,5.0176,5.0333,5.0027,5.0136
2015-04-09,5.012,5.0345,5.0098,5.0273
2015-04-10,5.0262,5.0329,5.0069,5.0329
2015-04-13,5.0329,5.0418,5.0153,5.0416
2015-04-14,5.0416,5.0417,5.0226,5.0294
2015-04-15,5.0331,5.0406,5.026,5.0406
2015-04-16,5.0406,5.0423,5.0204,5.0302
2015-04-17,5.0302,5.0317,5.0003,5.0081
2015-04-20,5.0081,5.0345,4.9924,5.0168
2015-04-21,5.0168,5.0349,5.0007,5.0241
2015-04-22,5.0241,5.0294,5.0049,5.0156
2015-04-23,5.0156,5.0376,5.0027,5.006
2015-04-24,4.9993,5.0179,4.9587,4.9733
2015-04-27,4.9733,4.9733,4.9103,4.9175
2015-04-28,4.9175,4.9278,4.8931,4.9197
2015-04-29,4.9197,4.9249,4.9033,4.9202
2015-04-30,4.9202,4.9491,4.9057,4.9461
2015-05-01,4.9461,4.9557,4.9348,4.9485
2015-05-04,4.9626,4.9626,4.9322,4.952
2015-05-05,4.9496,4.9545,4.9395,4.9541
2015-05-06,4.9541,4.9582,4.9362,4.9422
2015-05-07,4.9422,4.9653,4.9354,4.9653
2015-05-08,4.9653,4.9653,4.9408,4.9448
2015-05-11,4.9448,4.96,4.9391,4.96
2015-05-12,4.96,4.9609,4.9444,4.9608
2015-05-13,4.9608,4.9636,4.9328,4.9441
2015-05-14,4.9441,4.9464,4.9202,4.9255
2015-05-15,4.9255,4.9295,4.9008,4.9145
2015-05-18,4.9076,4.9147,4.9005,4.9146
2015-05-19,4.9081,4.9163,4.9027,4.9119
2015-05-20,4.9119,4.9312,4.9068,4.931
2015-05-21,4.931,4.9312,4.906,4.9161
2015-05-22,4.9161,4.9192,4.9018,4.9192
2015-05-25,4.9169,4.9247,4.9118,4.9192
2015-05-26,4.9192,4.9474,4.9141,4.9474
2015-05-27,4.9474,4.9539,4.9354,4.9539
2015-05-28,4.9427,4.9539,4.9322,4.9491
2015-05-29,4.9491,4.9761,4.9378,4.9757
2015-06-01,4.9757,4.9809,4.9555,4.9761
2015-06-02,4.9761,4.992,4.9672,4.9822
2015-06-03,4.9822,4.9822,4.9628,4.9801
2015-06-04,4.9801,4.9898,4.968,4.9898
2015-06-05,4.9898,5.0143,4.9658,5.0143
2015-06-08,5.0143,5.0307,4.9886,5.0223
2015-06-09,5.0223,5.0311,5.0023,5.0122
2015-06-10,5.0122,5.0211,4.9763,4.9866
2015-06-11,4.9866,4.9914,4.9725,4.9914
2015-06-12,4.9914,5.0295,4.9723,4.987
2015-06-15,4.987,4.9902,4.9765,4.9886
2015-06-16,4.9886,4.9901,4.9761,4.9834
2015-06-17,4.9834,4.9874,4.9745,4.9874
2015-06-18,4.9874,4.9874,4.9409,4.948
2015-06-19,4.948,4.9624,4.9431,4.96
