,Open,High,Low,Close
2014-11-07,38.053,38.166,37.986,38.125
2014-11-10,38.156,38.23,37.972,37.986
2014-11-11,38.041,38.219,38.041,38.183
2014-11-12,38.181,38.321,38.006,38.039
2014-11-13,38.036,38.268,38.03,38.227
2014-11-14,38.223,38.627,38.037,38.565
2014-11-17,38.545,38.661,38.194,38.245
2014-11-18,38.247,38.583,38.229,38.551
2014-11-19,38.564,38.868,38.472,38.774
2014-11-20,38.768,38.879,38.691,38.802
2014-11-21,38.799,38.873,38.249,38.251
2014-11-24,38.51,38.595,38.474,38.585
2014-11-25,38.578,38.662,38.223,38.637
2014-11-26,38.634,38.72,38.446,38.689
2014-11-27,38.681,38.694,38.485,38.576
2014-11-28,38.455,38.735,38.442,38.629
2014-12-01,38.611,38.835,38.536,38.76
2014-12-02,38.759,38.767,38.492,38.565
2014-12-03,38.564,38.58,38.263,38.358
2014-12-04,38.356,38.776,38.238,38.578
2014-12-05,38.576,38.607,38.268,38.42
2014-12-08,38.375,38.48,38.199,38.396
2014-12-09,38.403,38.79,38.308,38.606
2014-12-10,38.612,38.865,38.543,38.865
2014-12-11,38.86,39.01,38.623,38.736
2014-12-12,38.75,39.114,38.686,39.031
2014-12-15,39.067,39.073,38.813,38.987
2014-12-16,39.0,39.193,38.871,39.119
2014-12-17,39.117,39.167,38.63,38.658
2014-12-18,38.653,38.766,38.461,38.627
2014-12-19,38.622,38.744,38.51,38.527
2014-12-22,38.501,38.781,38.46,38.668
2014-12-23,38.671,38.868,38.587,38.658
2014-12-24,38.659,38.861,38.654,38.848
2014-12-25,38.848,39.018,38.666,38.932
2014-12-26,38.743,38.843,38.634,38.795
2014-12-30,38.59,38.742,38.466,38.572
2014-12-31,38.576,38.595,38.243,38.386
2015-01-01,38.386,38.408,38.384,38.399
2015-01-02,38.399,38.399,38.149,38.151
2015-01-05,37.95,38.294,37.94,38.232
2015-01-06,38.232,38.305,38.004,38.008
2015-01-07,38.012,38.036,37.811,37.915
2015-01-08,37.909,37.949,37.616,37.749
2015-01-09,37.755,37.844,37.596,37.833
2015-01-12,37.92,37.933,37.607,37.774
2015-01-13,37.764,37.814,37.498,37.535
2015-01-14,37.535,37.739,37.288,37.502
2015-01-15,37.502,37.503,36.7,36.862
2015-01-16,36.85,36.885,36.213,36.473
2015-01-19,36.477,36.679,36.361,36.594
2015-01-20,36.578,36.698,36.385,36.618
2015-01-21,36.536,36.727,36.389,36.584
2015-01-22,36.577,36.622,35.595,35.629
2015-01-23,35.662,35.717,34.973,35.045
2015-01-26,34.851,35.405,34.728,35.187
2015-01-27,35.24,35.508,34.982,35.38
2015-01-28,35.374,35.53,35.197,35.197
2015-01-29,35.204,35.825,35.204,35.792
2015-01-30,35.798,35.947,35.632,35.803
2015-02-02,35.884,35.944,35.715,35.832
2015-02-03,35.838,36.281,35.683,36.185
2015-02-04,36.17,36.207,35.636,35.668
2015-02-05,35.617,36.286,35.538,36.213
2015-02-06,36.079,36.21,35.459,35.737
2015-02-09,35.77,35.861,35.644,35.801
2015-02-10,35.826,35.85,35.546,35.732
2015-02-11,35.755,35.897,35.608,35.839
2015-02-12,35.84,35.857,35.583,35.77
2015-02-13,35.776,35.928,35.719,35.719
2015-02-16,35.771,35.922,35.428,35.688
2015-02-17,35.074,35.074,35.0291,35.074
2015-02-18,35.0291,35.1059,35.0291,35.0291
2015-02-19,35.1059,35.1059,34.9502,35.1059
2015-02-20,36.026,36.27,35.817,36.183
2015-02-23,34.8873,34.916,34.8873,34.8873
2015-02-24,34.916,34.916,34.6768,34.916
2015-02-25,34.6768,34.6768,34.5688,34.6768
2015-02-26,34.5688,34.5688,34.3218,34.5688
2015-02-27,35.125,35.322,35.071,35.119
2015-03-02,34.2618,34.2618,34.0569,34.2618
2015-03-03,34.0569,34.0569,33.9509,34.0569
2015-03-04,33.9509,33.9509,33.7932,33.9509
2015-03-05,33.7932,33.7932,33.3805,33.7932
2015-03-06,34.733,34.748,34.228,34.271
2015-03-09,33.226,33.226,32.9952,33.226
2015-03-10,32.9952,32.9952,32.5707,32.9952
2015-03-11,32.5707,32.5892,32.5707,32.5707
2015-03-12,32.5892,32.5892,32.5032,32.5892
2015-03-13,33.549,33.598,33.162,33.288
2015-03-16,32.3448,32.5238,32.3448,32.3448
2015-03-17,32.5238,32.5238,32.4297,32.5238
2015-03-18,32.4297,32.6355,32.4297,32.4297
2015-03-19,32.6355,32.7786,32.6355,32.6355
2015-03-20,33.599,34.138,33.507,33.969
2015-03-23,33.1533,33.2392,33.1533,33.1533
2015-03-24,33.1533,33.2392,33.1533,33.1533
2015-03-25,33.3441,33.3441,33.3107,33.2392
2015-03-26,33.3107,33.3107,32.8866,33.3107
2015-03-27,33.994,34.089,33.774,33.992
2015-03-30,32.8797,32.8797,32.5994,32.8797
2015-03-31,32.6425,32.6425,32.6425,32.5994
2015-04-01,32.6425,32.6851,32.6425,32.6425
2015-04-02,32.6851,32.6851,32.6851,32.6851
2015-04-03,33.808,34.264,33.731,33.95
2015-04-06,32.6851,32.7352,32.6851,32.6851
2015-04-07,32.7352,32.7451,32.7352,32.7352
2015-04-08,32.7451,32.7451,32.5038,32.7451
2015-04-09,32.5038,32.5038,32.0146,32.5038
2015-04-10,33.252,33.293,32.996,33.114
2015-04-13,31.9485,32.0351,31.9485,31.9485
2015-04-14,32.0351,32.0864,32.0351,32.0351
2015-04-15,32.0864,32.2952,32.0864,32.0864
2015-04-16,32.5381,32.5381,32.5381,32.2952
2015-04-17,33.551,33.598,33.35,33.533
2015-04-20,32.3246,32.3246,32.2299,32.3246
2015-04-21,32.2299,32.4138,32.2299,32.2299
2015-04-22,32.4138,32.4138,32.3648,32.4138
2015-04-23,32.3648,32.3648,32.338,32.3648
2015-04-24,33.525,33.577,33.323,33.447
2015-04-27,32.161,32.3511,32.161,32.161
2015-04-28,32.3511,32.527,32.3511,32.3511
2015-04-29,32.527,33.2435,32.527,32.527
2015-04-30,33.2435,33.2435,33.2435,33.2435
2015-05-01,34.38,34.543,34.297,34.365
2015-05-04,33.2019,33.2019,33.16,33.2019
2015-05-05,33.16,33.4093,33.16,33.16
2015-05-06,33.4093,33.9223,33.4093,33.4093
2015-05-07,33.9223,33.9223,33.4232,33.9223
2015-05-08,34.604,34.728,34.31,34.365
2015-05-11,33.2935,33.613,33.2935,33.2935
2015-05-12,33.613,33.613,33.3598,33.613
2015-05-13,33.3598,33.9002,33.3598,33.3598
2015-05-14,33.9002,33.9002,33.623,33.9002
2015-05-15,34.825,34.937,34.561,34.913
2015-05-18,33.7684,33.7684,33.1291,33.7684
2015-05-19,33.1291,33.1291,32.8846,33.1291
2015-05-20,32.8846,32.9615,32.8846,32.8846
2015-05-21,32.9615,33.0162,32.9615,32.9615
2015-05-22,33.829,34.027,33.499,33.566
2015-05-25,32.4698,32.4698,32.3441,32.4698
2015-05-26,32.3441,32.3704,32.3441,32.3441
2015-05-27,32.3704,32.4956,32.3704,32.3704
2015-05-28,32.4956,32.7577,32.4956,32.4956
2015-05-29,33.653,33.909,33.516,33.892
2015-06-01,32.685,33.0094,32.685,32.685
2015-06-02,33.0094,33.2979,33.0094,33.0094
2015-06-03,33.2979,34.0591,33.2979,33.2979
2015-06-04,34.0591,34.0591,33.686,34.0591
2015-06-05,34.655,34.841,34.294,34.548
2015-06-08,33.712,33.9912,33.712,33.712
2015-06-09,33.9912,33.9912,33.9756,33.9912
