,Open,High,Low,Close
2014-11-07,48.57,48.622,48.454,48.592
2014-11-10,48.627,48.695,48.442,48.456
2014-11-11,48.592,48.753,48.541,48.735
2014-11-12,48.724,48.862,48.234,48.242
2014-11-13,48.249,48.36,48.072,48.132
2014-11-14,48.125,48.326,47.892,48.248
2014-11-17,48.238,48.427,47.933,48.042
2014-11-18,48.038,48.236,47.996,48.082
2014-11-19,48.094,48.561,47.987,48.456
2014-11-20,48.462,48.678,48.374,48.539
2014-11-21,48.548,48.592,48.309,48.345
2014-11-24,48.622,48.733,48.602,48.71
2014-11-25,48.709,48.714,48.188,48.654
2014-11-26,48.652,48.886,48.426,48.856
2014-11-27,48.851,48.866,48.538,48.672
2014-11-28,48.534,48.691,48.44,48.545
2014-12-01,48.498,48.968,48.346,48.898
2014-12-02,48.897,48.912,48.61,48.711
2014-12-03,48.7,48.973,48.55,48.887
2014-12-04,48.88,48.99,48.72,48.847
2014-12-05,48.842,48.912,48.594,48.738
2014-12-08,48.606,48.902,48.488,48.829
2014-12-09,48.815,49.003,48.683,48.89
2014-12-10,48.894,49.083,48.805,49.08
2014-12-11,49.078,49.195,48.864,49.135
2014-12-12,49.13,49.305,49.05,49.238
2014-12-15,49.277,49.301,48.803,49.023
2014-12-16,49.026,49.303,48.855,49.237
2014-12-17,49.239,49.294,48.738,48.809
2014-12-18,48.806,49.309,48.73,49.26
2014-12-19,49.252,49.368,49.135,49.234
2014-12-22,49.231,49.463,49.138,49.296
2014-12-23,49.288,49.549,49.088,49.289
2014-12-24,49.281,49.57,49.272,49.566
2014-12-25,49.554,49.554,49.266,49.546
2014-12-26,49.373,49.587,49.259,49.551
2014-12-30,49.262,49.536,49.172,49.379
2014-12-31,49.38,49.481,49.134,49.432
2015-01-01,49.432,49.452,49.346,49.442
2015-01-02,49.44,49.44,48.737,48.737
2015-01-05,48.543,48.985,48.543,48.873
2015-01-06,48.871,48.908,48.469,48.479
2015-01-07,48.478,48.491,48.249,48.403
2015-01-08,48.395,48.432,48.075,48.293
2015-01-09,48.294,48.464,48.133,48.443
2015-01-12,48.546,48.546,48.137,48.432
2015-01-13,48.42,48.467,48.06,48.326
2015-01-14,48.336,48.659,48.106,48.461
2015-01-15,48.463,48.498,48.028,48.114
2015-01-16,48.122,48.148,47.607,47.764
2015-01-19,47.738,47.828,47.622,47.653
2015-01-20,47.601,48.08,47.5,48.033
2015-01-21,47.922,48.097,47.513,47.7
2015-01-22,47.695,47.826,47.092,47.117
2015-01-23,47.168,47.208,46.82,46.885
2015-01-26,46.931,47.36,46.852,47.2
2015-01-27,47.31,47.381,46.818,47.264
2015-01-28,47.249,47.526,47.167,47.27
2015-01-29,47.29,47.819,47.269,47.63
2015-01-30,47.626,47.841,47.419,47.803
2015-02-02,47.875,47.875,47.411,47.503
2015-02-03,47.507,47.877,47.305,47.813
2015-02-04,47.783,47.952,47.495,47.752
2015-02-05,47.75,48.423,47.611,48.381
2015-02-06,48.207,48.412,47.639,48.164
2015-02-09,48.169,48.205,47.983,48.101
2015-02-10,48.125,48.232,47.884,48.171
2015-02-11,48.211,48.393,47.985,48.211
2015-02-12,48.21,48.617,47.927,48.271
2015-02-13,48.267,48.443,48.267,48.343
2015-02-16,48.357,48.576,47.944,48.303
2015-02-17,48.293,48.53,48.253,48.48
2015-02-18,48.475,49.062,48.473,48.956
2015-02-19,48.939,49.037,48.789,48.88
2015-02-20,48.877,48.999,48.751,48.958
2015-02-23,48.92,49.137,48.701,49.081
2015-02-24,49.082,49.113,48.727,48.936
2015-02-25,48.949,49.028,48.63,48.931
2015-02-26,48.927,49.009,48.307,48.35
2015-02-27,48.348,48.621,48.312,48.437
2015-03-02,48.407,48.601,48.242,48.286
2015-03-03,48.291,48.38,48.122,48.122
2015-03-04,48.12,48.316,47.94,47.971
2015-03-05,47.971,48.042,47.881,48.024
2015-03-06,48.025,48.069,47.415,47.5
2015-03-09,47.577,47.765,47.413,47.71
2015-03-10,47.714,47.9,47.512,47.797
2015-03-11,47.822,47.844,47.239,47.333
2015-03-12,47.345,47.538,46.91,47.029
2015-03-13,47.028,47.119,46.627,46.737
2015-03-16,46.761,47.07,46.662,47.002
2015-03-17,47.005,47.032,46.493,46.557
2015-03-18,46.56,47.232,46.209,46.86
2015-03-19,46.846,47.022,46.267,46.476
2015-03-20,46.48,47.081,46.357,46.965
2015-03-23,46.951,47.019,46.652,46.948
2015-03-24,46.944,46.955,46.341,46.342
2015-03-25,46.361,46.672,46.329,46.558
2015-03-26,46.559,46.784,46.269,46.381
2015-03-27,46.4,46.595,46.25,46.409
2015-03-30,46.476,46.549,46.129,46.362
2015-03-31,46.362,46.479,46.171,46.378
2015-04-01,46.381,46.511,46.186,46.41
2015-04-02,46.407,46.428,46.03,46.116
2015-04-03,46.117,46.454,46.013,46.144
2015-04-06,46.131,46.316,45.995,46.085
2015-04-07,46.035,46.379,45.994,46.073
2015-04-08,46.074,46.5,46.053,46.247
2015-04-09,46.235,46.294,45.818,45.899
2015-04-10,45.882,45.91,45.563,45.711
2015-04-13,45.758,45.993,45.537,45.964
2015-04-14,45.968,46.224,45.657,46.144
2015-04-15,46.11,46.436,45.939,46.359
2015-04-16,46.364,46.613,46.181,46.518
2015-04-17,46.525,46.593,46.352,46.429
2015-04-20,46.441,46.562,46.244,46.349
2015-04-21,46.349,46.629,46.192,46.391
2015-04-22,46.497,46.876,46.302,46.698
2015-04-23,46.706,46.932,46.494,46.692
2015-04-24,46.652,46.776,46.44,46.776
2015-04-27,46.732,46.762,46.197,46.57
2015-04-28,46.559,46.817,46.299,46.811
2015-04-29,46.808,47.241,46.681,47.047
2015-04-30,47.037,47.395,46.848,47.096
2015-05-01,47.062,47.078,46.382,46.456
2015-05-04,46.574,46.632,46.364,46.474
2015-05-05,46.453,46.769,46.325,46.637
2015-05-06,46.635,46.821,46.409,46.696
2015-05-07,46.698,47.504,46.611,47.504
2015-05-08,47.384,47.66,47.239,47.457
2015-05-11,47.367,48.056,47.296,47.966
2015-05-12,47.959,48.363,47.822,48.248
2015-05-13,48.251,48.441,48.045,48.282
2015-05-14,48.285,48.333,48.07,48.18
2015-05-15,48.176,48.223,47.905,47.959
2015-05-18,47.863,47.905,47.66,47.735
2015-05-19,47.732,47.732,47.103,47.296
2015-05-20,47.284,47.677,47.184,47.529
2015-05-21,47.529,47.979,47.288,47.695
2015-05-22,47.696,47.768,47.113,47.217
2015-05-25,47.109,47.326,47.109,47.158
2015-05-26,47.181,47.291,46.923,47.242
2015-05-27,47.24,47.311,47.015,47.156
2015-05-28,47.025,47.143,46.858,47.008
2015-05-29,47.01,47.179,46.785,47.161
2015-06-01,47.142,47.161,46.8,46.883
2015-06-02,46.915,47.446,46.875,47.364
2015-06-03,47.372,47.406,47.056,47.322
2015-06-04,47.306,47.621,47.169,47.499
2015-06-05,47.503,47.541,47.15,47.478
2015-06-08,47.477,47.946,47.117,47.809
2015-06-09,47.809,48.025,47.479,47.839
2015-06-10,47.848,48.121,47.642,47.995
2015-06-11,47.985,48.107,47.727,48.05
2015-06-12,48.042,48.419,47.873,48.187
2015-06-15,48.184,48.343,47.9,48.304
2015-06-16,48.201,48.422,48.089,48.411
2015-06-17,48.402,49.057,48.296,49.004
2015-06-18,49.022,49.069,48.651,48.764
2015-06-19,48.761,48.936,48.647,48.909
2015-06-22,48.805,48.965,48.575,48.701
2015-06-23,48.709,48.897,48.454,48.623
2015-06-24,48.633,48.89,48.546,48.578
2015-06-25,48.652,48.841,48.451,48.792
2015-06-26,48.793,48.879,48.581,48.843
2015-06-29,48.734,48.83,48.553,48.671
2015-06-30,48.669,48.77,48.429,48.515
2015-07-01,48.505,48.659,48.239,48.348
2015-07-02,48.319,48.364,48.184,48.27
2015-07-03,48.261,48.369,48.139,48.192
2015-07-06,48.17,48.38,48.086,48.308
2015-07-07,48.314,48.318,47.773,48.102
2015-07-08,48.099,48.154,47.56,47.723
2015-07-09,47.711,48.017,47.66,47.749
2015-07-10,47.754,48.237,47.582,48.107
2015-07-13,48.072,48.347,47.985,48.344
2015-07-14,48.159,48.554,47.963,48.541
2015-07-15,48.539,48.822,48.421,48.603
2015-07-16,48.61,48.708,48.379,48.65
2015-07-17,48.644,48.757,48.463,48.584
2015-07-20,48.528,48.788,48.441,48.687
2015-07-21,48.628,48.707,48.458,48.59
2015-07-22,48.588,48.841,48.479,48.834
2015-07-23,48.836,48.919,48.422,48.435
2015-07-24,48.564,48.968,48.447,48.911
2015-07-27,48.813,49.323,48.793,49.211
2015-07-28,49.114,49.236,48.726,49.1
2015-07-29,49.073,49.354,49.024,49.095
2015-07-30,49.101,49.407,49.011,49.293
2015-07-31,49.296,49.538,49.141,49.355
2015-08-03,49.378,49.58,49.211,49.472
2015-08-04,49.469,49.497,49.197,49.21
2015-08-05,49.224,49.607,49.109,49.463
2015-08-06,49.473,49.529,49.067,49.139
2015-08-07,49.135,49.218,48.988,49.179
2015-08-10,49.197,49.445,48.92,49.318
2015-08-11,49.389,50.35,49.184,50.094
2015-08-12,50.134,50.625,49.845,50.254
2015-08-13,50.253,50.394,49.925,50.363
2015-08-14,50.358,50.465,50.076,50.317
2015-08-17,50.337,50.819,50.328,50.65
2015-08-18,50.643,50.998,50.426,50.883
2015-08-19,50.87,51.0,50.787,50.956
2015-08-20,50.957,51.24,50.831,51.215
2015-08-21,51.209,51.422,51.065,51.262
2015-08-24,51.247,52.13,51.146,52.051
2015-08-25,51.829,51.833,50.913,50.936
2015-08-26,51.05,51.323,50.167,50.243
2015-08-27,50.242,50.311,49.681,49.764
2015-08-28,49.717,49.905,49.634,49.826
2015-08-31,49.891,50.273,49.88,49.944
2015-09-01,50.0,50.006,49.616,49.708
2015-09-02,49.596,49.837,49.555,49.78
2015-09-03,49.784,49.846,49.576,49.67
2015-09-04,49.687,49.698,49.499,49.571
2015-09-07,49.694,50.061,49.594,49.945
2015-09-08,49.913,50.347,49.913,50.204
2015-09-09,50.147,50.222,49.893,49.969
2015-09-10,49.976,50.163,49.835,50.059
2015-09-11,50.048,50.334,49.932,50.234
2015-09-14,50.285,50.326,50.052,50.192
2015-09-15,50.139,50.287,49.831,49.913
2015-09-16,49.816,50.464,49.773,50.373
2015-09-17,50.384,50.698,50.146,50.557
2015-09-18,50.529,50.791,50.168,50.174
2015-09-21,50.17,50.772,50.17,50.685
2015-09-22,50.616,50.85,50.483,50.554
2015-09-23,50.531,50.535,50.021,50.223
2015-09-24,50.223,50.752,50.102,50.555
2015-09-25,50.559,50.575,49.967,50.134
2015-09-28,50.178,50.571,50.105,50.386
2015-09-29,50.389,50.507,49.989,50.106
2015-09-30,50.118,50.251,49.738,49.879
2015-10-01,49.873,49.893,49.465,49.691
2015-10-02,49.693,50.141,49.628,50.004
2015-10-05,49.75,50.081,49.191,49.238
2015-10-06,49.259,49.807,49.197,49.766
2015-10-07,49.765,49.861,49.472,49.619
2015-10-08,49.685,50.157,49.495,50.076
2015-10-09,50.108,50.108,49.37,49.424
2015-10-12,49.442,49.824,49.442,49.618
2015-10-13,49.616,49.95,49.413,49.579
2015-10-14,49.564,50.248,49.56,50.193
2015-10-15,50.191,50.215,49.404,49.576
2015-10-16,49.585,50.076,49.384,49.889
2015-10-19,49.751,50.166,49.735,50.137
2015-10-20,50.171,50.186,49.966,50.008
2015-10-21,50.005,50.322,49.932,50.131
2015-10-22,50.142,50.232,49.889,49.948
2015-10-23,49.941,50.084,49.728,49.745
2015-10-26,49.755,49.846,49.556,49.677
2015-10-27,49.681,49.919,49.553,49.687
2015-10-28,49.669,49.918,49.608,49.692
2015-10-29,49.692,50.002,49.592,49.998
2015-10-30,50.009,50.206,49.688,50.098
2015-11-02,50.132,50.351,50.038,50.166
2015-11-03,50.165,50.346,49.911,50.124
2015-11-04,50.027,50.124,49.786,49.967
2015-11-05,49.966,49.984,49.304,49.314
2015-11-06,49.433,49.528,48.908,49.247
2015-11-09,49.252,49.667,49.07,49.636
2015-11-10,49.637,49.648,49.337,49.593
2015-11-11,49.6,49.832,49.452,49.798
2015-11-12,49.718,49.955,49.638,49.935
2015-11-13,49.932,50.139,49.675,50.139
2015-11-16,50.055,50.074,49.781,49.932
2015-11-17,49.926,50.056,49.692,49.853
2015-11-18,49.978,49.98,49.752,49.885
2015-11-19,49.9,50.082,49.769,49.954
2015-11-20,49.952,49.958,49.445,49.461
2015-11-23,49.445,49.582,49.268,49.399
2015-11-24,49.384,49.436,49.113,49.207
2015-11-25,49.053,49.281,48.933,49.222
2015-11-26,49.212,49.249,49.036,49.11
2015-11-27,49.153,49.528,48.91,48.921
2015-11-30,49.209,49.249,49.0,49.242
2015-12-01,49.234,49.556,49.061,49.33
2015-12-02,49.327,49.349,48.995,49.071
2015-12-03,49.059,49.647,48.866,49.587
2015-12-04,49.587,49.673,49.277,49.544
2015-12-07,49.566,49.626,49.373,49.523
2015-12-08,49.524,49.591,49.229,49.577
2015-12-09,49.563,50.159,49.188,50.127
2015-12-10,50.138,50.181,49.578,49.675
2015-12-11,49.668,50.12,49.609,50.066
2015-12-14,49.971,50.218,49.712,49.953
2015-12-15,49.942,49.97,49.253,49.317
2015-12-16,49.319,49.446,49.105,49.133
2015-12-17,49.092,49.286,48.961,49.188
2015-12-18,49.193,49.242,48.973,49.057
2015-12-21,49.097,49.135,48.921,48.97
2015-12-22,48.975,49.047,48.681,48.682
2015-12-23,48.687,48.954,48.578,48.869
2015-12-24,48.863,49.03,48.736,48.924
2015-12-25,48.984,48.984,48.876,48.977
2015-12-28,48.959,49.258,48.845,48.871
2015-12-29,48.874,48.949,48.559,48.702
2015-12-30,48.7,48.944,48.605,48.847
2015-12-31,48.838,48.878,48.551,48.603
2016-01-01,48.574,48.574,48.574,48.574
2016-01-04,48.591,48.89,48.515,48.766
2016-01-05,48.765,48.791,48.494,48.599
2016-01-06,48.604,48.799,48.434,48.708
2016-01-07,48.708,48.865,48.448,48.736
2016-01-08,48.748,48.774,48.34,48.387
2016-01-11,48.468,48.67,48.371,48.528
2016-01-12,48.488,48.685,47.917,48.221
2016-01-13,48.216,48.306,47.964,48.028
2016-01-14,48.022,48.351,47.953,48.258
2016-01-15,48.285,48.387,47.94,47.942
2016-01-18,47.943,48.041,47.794,47.806
2016-01-19,47.787,48.134,47.409,47.493
2016-01-20,47.499,48.023,47.445,47.926
2016-01-21,47.918,47.963,47.487,47.931
2016-01-22,47.821,48.12,47.671,47.814
2016-01-25,47.806,47.969,47.74,47.773
2016-01-26,47.763,48.205,47.624,48.155
2016-01-27,48.141,48.234,47.82,47.87
2016-01-28,47.878,48.402,47.82,48.254
2016-01-29,48.16,48.273,47.486,47.795
2016-02-01,47.722,48.374,47.454,48.323
2016-02-02,48.202,48.546,47.967,48.342
2016-02-03,48.376,49.023,48.085,48.97
2016-02-04,48.974,49.0,48.091,48.383
2016-02-05,48.361,48.501,48.048,48.195
2016-02-08,48.196,48.599,48.035,48.234
2016-02-09,48.237,48.407,47.931,48.216
2016-02-10,48.218,48.239,47.827,48.085
2016-02-11,48.073,48.167,47.532,47.786
2016-02-12,47.772,48.117,47.721,48.019
2016-02-15,48.019,48.312,47.761,47.857
2016-02-16,47.872,48.075,47.379,47.422
2016-02-17,47.447,47.853,47.377,47.675
2016-02-18,47.675,47.981,47.444,47.654
2016-02-19,47.626,47.974,47.457,47.974
2016-02-22,47.61,47.615,46.753,47.0
2016-02-23,46.999,47.067,46.649,46.696
2016-02-24,46.694,46.7,46.37,46.513
2016-02-25,46.508,46.545,46.234,46.402
2016-02-26,46.394,46.587,46.07,46.106
2016-02-29,46.077,46.349,46.008,46.301
2016-03-01,46.297,46.381,46.087,46.175
2016-03-02,46.177,46.661,46.081,46.639
2016-03-03,46.647,46.746,46.281,46.672
2016-03-04,46.687,46.687,46.326,46.379
2016-03-07,46.492,46.728,46.287,46.67
2016-03-08,46.67,46.765,46.497,46.653
2016-03-09,46.662,46.779,46.549,46.709
2016-03-10,46.703,47.147,46.55,47.042
2016-03-11,47.051,47.197,46.718,47.027
2016-03-14,47.02,47.106,46.666,46.681
2016-03-15,46.681,46.88,46.205,46.537
2016-03-16,46.54,46.858,46.135,46.821
2016-03-17,46.369,46.971,46.335,46.906
2016-03-18,46.909,47.105,46.726,46.813
2016-03-21,46.756,46.887,46.49,46.503
2016-03-22,46.501,46.694,46.045,46.092
2016-03-23,46.133,46.154,45.738,45.843
2016-03-24,45.84,46.149,45.704,46.041
2016-03-25,46.033,46.145,45.935,46.004
2016-03-28,46.026,46.554,46.015,46.492
2016-03-29,46.494,46.905,46.306,46.879
2016-03-30,46.883,46.883,46.21,46.342
2016-03-31,46.341,46.437,46.106,46.176
2016-04-01,46.165,46.361,45.745,45.919
2016-04-04,45.904,46.26,45.86,46.097
2016-04-05,46.099,46.265,45.829,45.951
2016-04-06,45.914,46.006,45.457,45.874
2016-04-07,45.87,45.904,45.488,45.624
2016-04-08,45.616,45.841,45.557,45.838
2016-04-11,45.836,46.232,45.668,46.053
2016-04-12,46.051,46.255,45.975,46.175
2016-04-13,46.173,46.217,45.938,46.039
2016-04-14,46.019,46.019,45.663,45.806
2016-04-15,45.815,46.048,45.697,46.033
2016-04-18,45.87,46.254,45.798,46.209
2016-04-19,46.208,46.361,46.001,46.305
2016-04-20,46.264,46.413,46.17,46.184
2016-04-21,46.185,46.598,46.146,46.226
2016-04-22,46.222,46.68,46.222,46.645
2016-04-25,46.701,46.942,46.58,46.88
2016-04-26,46.884,47.312,46.829,47.14
2016-04-27,47.104,47.291,47.046,47.14
2016-04-28,47.117,47.255,46.9,47.236
2016-04-29,47.225,47.366,47.077,47.154
2016-05-02,47.149,47.386,47.052,47.313
2016-05-03,47.303,47.54,46.983,47.012
2016-05-04,47.019,47.1,46.82,46.93
2016-05-05,46.93,47.05,46.845,46.957
2016-05-06,46.958,47.032,46.77,46.787
2016-05-09,46.806,47.021,46.618,46.921
2016-05-10,46.923,47.139,46.781,47.064
2016-05-11,47.066,47.171,46.891,47.03
2016-05-12,47.036,47.332,46.862,47.078
2016-05-13,47.087,47.097,46.81,46.964
2016-05-16,46.922,47.121,46.809,47.107
2016-05-17,47.114,47.382,47.105,47.186
2016-05-18,47.188,47.995,47.086,47.902
2016-05-19,47.893,48.018,47.72,47.892
2016-05-20,47.892,47.894,47.425,47.489
2016-05-23,47.426,47.539,47.216,47.345
2016-05-24,47.25,47.878,47.25,47.826
2016-05-25,47.819,47.953,47.641,47.868
