,Open,High,Low,Close
2014-11-07,3.9549,3.9549,3.9439,3.9497
2014-11-10,3.9498,3.95,3.9378,3.9435
2014-11-11,3.9481,3.9485,3.9414,3.9481
2014-11-12,3.948,3.9555,3.9428,3.9468
2014-11-13,3.9468,3.9557,3.9438,3.9518
2014-11-14,3.9518,3.9716,3.948,3.9714
2014-11-17,3.9714,3.9716,3.9529,3.9623
2014-11-18,3.9623,3.9681,3.9567,3.9679
2014-11-19,3.9678,3.9892,3.9637,3.9855
2014-11-20,3.9854,3.996,3.9805,3.9891
2014-11-21,3.9891,3.9923,3.9802,3.9805
2014-11-24,3.993,3.9998,3.9914,3.9996
2014-11-25,3.9997,3.9998,3.9646,3.9949
2014-11-26,3.9949,3.9949,3.9761,3.9903
2014-11-27,3.9904,3.9911,3.9791,3.9911
2014-11-28,3.9826,4.0013,3.9826,4.0013
2014-12-01,4.0013,4.0092,3.9959,4.0076
2014-12-02,4.0076,4.0165,4.0004,4.0165
2014-12-03,4.0165,4.0208,4.0079,4.0201
2014-12-04,4.0201,4.0215,4.0101,4.0214
2014-12-05,4.0214,4.0364,4.0093,4.0363
2014-12-08,4.0294,4.0364,4.015,4.0232
2014-12-09,4.0232,4.0306,4.0136,4.0241
2014-12-10,4.0242,4.0294,4.0166,4.0292
2014-12-11,4.0293,4.0303,4.0223,4.0299
2014-12-12,4.0299,4.0454,4.0274,4.0415
2014-12-15,4.0408,4.0429,4.0266,4.0425
2014-12-16,4.0425,4.0426,4.0247,4.0329
2014-12-17,4.0329,4.0437,4.031,4.0422
2014-12-18,4.0423,4.0578,4.0351,4.0543
2014-12-19,4.0543,4.0642,4.0468,4.0629
2014-12-22,4.0637,4.0788,4.0566,4.0786
2014-12-23,4.0786,4.0954,4.0713,4.0953
2014-12-24,4.0953,4.1095,4.0925,4.1031
2014-12-25,4.1031,4.1044,4.0819,4.1044
2014-12-26,4.0898,4.1049,4.0792,4.104
2014-12-30,4.0929,4.1016,4.0829,4.0913
2014-12-31,4.091,4.0931,4.0723,4.0906
2015-01-01,4.0906,4.0924,4.0906,4.0917
2015-01-02,4.0917,4.1005,4.0801,4.0999
2015-01-05,4.1,4.1333,4.0976,4.1318
2015-01-06,4.1318,4.1329,4.1212,4.1294
2015-01-07,4.1294,4.1322,4.1216,4.1317
2015-01-08,4.1318,4.1318,4.1207,4.13
2015-01-09,4.13,4.1306,4.1132,4.1224
2015-01-12,4.1223,4.1226,4.1003,4.1182
2015-01-13,4.1182,4.1182,4.1014,4.112
2015-01-14,4.112,4.1121,4.0961,4.1032
2015-01-15,4.1032,4.1047,4.0802,4.0888
2015-01-16,4.089,4.0899,4.0645,4.0679
2015-01-19,4.0671,4.0745,4.0592,4.067
2015-01-20,4.067,4.0894,4.0634,4.0893
2015-01-21,4.0828,4.0887,4.0585,4.064
2015-01-22,4.0638,4.0641,4.0467,4.0541
2015-01-23,4.0549,4.0582,4.033,4.0358
2015-01-26,4.0352,4.0469,4.0288,4.0377
2015-01-27,4.0464,4.0464,4.004,4.0138
2015-01-28,4.0138,4.0337,4.0131,4.0282
2015-01-29,4.0282,4.0789,4.0274,4.077
2015-01-30,4.077,4.093,4.0575,4.0928
2015-02-02,4.0927,4.093,4.0722,4.0786
2015-02-03,4.0786,4.0786,4.0521,4.0694
2015-02-04,4.0694,4.0697,4.0417,4.0595
2015-02-05,4.057,4.0725,4.0451,4.072
2015-02-06,4.0588,4.0759,4.027,4.0754
2015-02-09,4.0756,4.0782,4.0613,4.0779
2015-02-10,4.0779,4.078,4.0569,4.0746
2015-02-11,4.0746,4.0805,4.0587,4.0802
2015-02-12,4.0802,4.0805,4.026,4.0474
2015-02-13,4.0474,4.0586,4.0416,4.0477
2015-02-16,4.0476,4.057,4.0236,4.0528
2015-02-17,3.9645,3.9692,3.9645,3.9564
2015-02-18,3.9606,3.9721,3.9606,3.9692
2015-02-19,3.9824,3.9824,3.9762,3.9721
2015-02-20,4.0874,4.0993,4.0853,4.099
2015-02-23,3.9668,3.9745,3.9668,3.9759
2015-02-24,3.9671,3.9671,3.9414,3.9745
2015-02-25,3.9348,3.9348,3.9277,3.9414
2015-02-26,3.976,3.976,3.9421,3.9288
2015-02-27,4.0465,4.0611,4.0461,4.0461
2015-03-02,3.9507,3.9507,3.935,3.9357
2015-03-03,3.9276,3.9338,3.9276,3.935
2015-03-04,3.952,3.952,3.9434,3.9338
2015-03-05,3.9539,3.9539,3.931,3.9434
2015-03-06,4.0605,4.0736,4.0238,4.0733
2015-03-09,3.9525,3.9592,3.9525,3.9412
2015-03-10,3.9727,3.9727,3.9577,3.9592
2015-03-11,3.9753,3.9753,3.9443,3.9577
2015-03-12,3.9548,3.9584,3.9548,3.9443
2015-03-13,4.0669,4.0823,4.0609,4.0815
2015-03-16,3.9436,3.9436,3.9401,3.9544
2015-03-17,3.951,3.951,3.9393,3.9401
2015-03-18,3.8368,3.936,3.8368,3.9393
2015-03-19,3.9447,3.9447,3.9344,3.936
2015-03-20,4.0603,4.0648,4.0487,4.0487
2015-03-23,3.9078,3.9159,3.9023,3.9242
2015-03-24,3.9078,3.9159,3.9023,3.9242
2015-03-25,3.9167,3.9167,3.9063,3.9023
2015-03-26,3.9439,3.9439,3.9046,3.9063
2015-03-27,4.0295,4.0374,4.0236,4.0241
2015-03-30,3.9163,3.9163,3.9133,3.9121
2015-03-31,3.9128,3.9128,3.9128,3.9154
2015-04-01,3.9095,3.9095,3.895,3.9128
2015-04-02,3.8793,3.8793,3.8793,3.878
2015-04-03,4.0105,4.0129,3.9907,3.9909
2015-04-06,3.8547,3.8879,3.8547,3.8435
2015-04-07,3.9003,3.9003,3.8869,3.8879
2015-04-08,3.917,3.917,3.8942,3.8869
2015-04-09,3.9316,3.9316,3.9022,3.8942
2015-04-10,4.0247,4.0318,4.0184,4.0317
2015-04-13,3.8981,3.9105,3.8981,3.9155
2015-04-14,3.8836,3.9089,3.8836,3.9105
2015-04-15,3.8755,3.8871,3.8755,3.9089
2015-04-16,3.8828,3.8828,3.8828,3.8692
2015-04-17,4.0198,4.0199,3.998,4.004
2015-04-20,3.8815,3.894,3.8815,3.8858
2015-04-21,3.8729,3.8855,3.8729,3.894
2015-04-22,3.9002,3.9002,3.8877,3.8855
2015-04-23,3.8628,3.8628,3.8544,3.8877
2015-04-24,3.9975,4.0124,3.9627,3.9743
2015-04-27,3.8155,3.8155,3.8154,3.8288
2015-04-28,3.8039,3.8175,3.8039,3.8154
2015-04-29,3.7765,3.833,3.7765,3.8175
2015-04-30,3.8262,3.8262,3.8227,3.833
2015-05-01,3.9578,3.9649,3.9481,3.9591
2015-05-04,3.8415,3.8442,3.8415,3.8435
2015-05-05,3.8256,3.8365,3.8256,3.8442
2015-05-06,3.8012,3.8629,3.8012,3.8365
2015-05-07,3.8897,3.8897,3.8418,3.8629
2015-05-08,3.9699,3.9752,3.9554,3.9595
2015-05-11,3.8535,3.8549,3.8535,3.8492
2015-05-12,3.8658,3.8658,3.8338,3.8549
2015-05-13,3.7927,3.8294,3.7927,3.8338
2015-05-14,3.8342,3.8342,3.8188,3.8294
2015-05-15,3.9408,3.9455,3.9234,3.9343
2015-05-18,3.8475,3.8475,3.8126,3.8175
2015-05-19,3.8344,3.8344,3.8196,3.8126
2015-05-20,3.8196,3.8196,3.8087,3.8196
2015-05-21,3.8269,3.8269,3.8086,3.8087
2015-05-22,3.9286,3.9331,3.918,3.9328
2015-05-25,3.818,3.8232,3.818,3.8151
2015-05-26,3.8344,3.8356,3.8344,3.8232
2015-05-27,3.8303,3.8375,3.8303,3.8356
2015-05-28,3.8252,3.8536,3.8252,3.8375
2015-05-29,3.9578,3.9789,3.9487,3.9779
2015-06-01,3.8578,3.8578,3.8574,3.8591
2015-06-02,3.819,3.8619,3.819,3.8574
2015-06-03,3.8134,3.8688,3.8134,3.8619
2015-06-04,3.9156,3.9156,3.8694,3.8688
2015-06-05,3.9913,4.0121,3.9762,4.0115
2015-06-08,3.857,3.8907,3.857,3.9048
2015-06-09,3.8831,3.8831,3.8792,3.8907
2015-06-10,3.8751,3.8754,3.8725,3.8792
2015-06-11,3.8825,3.8825,3.8759,3.8754
2015-06-12,3.9961,4.0265,3.9828,3.9935
2015-06-15,3.8556,3.8687,3.8556,3.8759
2015-06-16,3.8756,3.8756,3.8706,3.8687
2015-06-17,3.8363,3.8427,3.8363,3.8706
