,Open,High,Low,Close,open,high,low,close,RSI,MACD,MACD_signal,ATR,STOCH_K,STOCH_D,BB_upper,BB_middle,BB_lower,momentum,volatility,return_1,return_2,return_3,return_5,return_10
2014-11-07,23.687,23.769,23.633,23.746,,,,,,,,,,,,,,,,,,,,
2014-11-10,23.779,23.898,23.672,23.703,,,,,,,,,,,,,,,,,,,,
2014-11-11,23.838,23.957,23.838,23.906,,,,,,,,,,,,,,,,,,,,
2014-11-12,23.914,24.175,23.886,24.075,,,,,,,,,,,,,,,,,,,,
2014-11-13,24.068,24.25,24.011,24.11,,,,,,,,,,,,,,,,,,,,
2014-11-14,24.109,24.403,24.026,24.356,,,,,,,,,,,,,,,,,,,,
2014-11-17,24.439,24.544,24.265,24.337,,,,,,,,,,,,,,,,,,,,
2014-11-18,24.31,24.53,24.304,24.374,,,,,,,,,,,,,,,,,,,,
2014-11-19,24.343,24.387,24.202,24.237,,,,,,,,,,,,,,,,,,,,
2014-11-20,24.241,24.38,24.164,24.337,,,,,,,,,,,,,,,,,,,,
2014-11-21,24.327,24.541,24.258,24.346,,,,,,,,,,,,,,,,,,,,
2014-11-24,24.347,24.392,24.302,24.39,,,,,,,,,,,,,,,,,,,,
2014-11-25,24.389,24.397,23.952,24.187,,,,,,,,,,,,,,,,,,,,
2014-11-26,24.186,24.416,24.104,24.375,,,,,,,,,,,,,,,,,,,,
2014-11-27,24.366,24.481,24.272,24.361,,,,,,,,,,,,,,,,,,,,
2014-11-28,24.262,24.382,24.239,24.327,,,,,,,,,,,,,,,,,,,,
2014-12-01,24.25,24.572,24.147,24.455,,,,,,,,,,,,,,,,,,,,
2014-12-02,24.459,24.52,24.214,24.286,,,,,,,,,,,,,,,,,,,,
2014-12-03,24.274,24.314,24.087,24.151,,,,,,,,,,,,,,,,,,,,
2014-12-04,24.138,24.367,24.043,24.248,,,,,,,,,,,,,,,,,,,,
2014-12-05,24.245,24.252,24.056,24.127,,,,,,,,,,,,,,,,,,,,
2014-12-08,23.991,24.049,23.795,23.877,,,,,,,,,,,,,,,,,,,,
2014-12-09,23.891,24.157,23.764,23.947,,,,,,,,,,,,,,,,,,,,
2014-12-10,23.937,24.431,23.919,24.424,,,,,,,,,,,,,,,,,,,,
2014-12-11,24.365,24.529,24.31,24.405,,,,,,,,,,,,,,,,,,,,
2014-12-12,24.407,24.505,24.267,24.361,,,,,,,,,,,,,,,,,,,,
2014-12-15,24.37,24.399,24.165,24.264,,,,,,,,,,,,,,,,,,,,
2014-12-16,24.265,24.482,24.154,24.345,,,,,,,,,,,,,,,,,,,,
2014-12-17,24.327,24.424,24.097,24.12,,,,,,,,,,,,,,,,,,,,
2014-12-18,24.128,24.436,24.069,24.436,,,,,,,,,,,,,,,,,,,,
2014-12-19,24.436,24.543,24.358,24.407,,,,,,,,,,,,,,,,,,,,
2014-12-22,24.384,24.534,24.289,24.428,,,,,,,,,,,,,,,,,,,,
2014-12-23,24.427,24.589,24.381,24.501,,,,,,,,,,,,,,,,,,,,
2014-12-24,24.487,24.631,24.483,24.597,,,,,,,,,,,,,,,,,,,,
2014-12-25,24.601,24.653,24.499,24.642,,,,,,,,,,,,,,,,,,,,
2014-12-26,24.53,24.724,24.495,24.716,,,,,,,,,,,,,,,,,,,,
2014-12-30,24.695,24.964,24.658,24.842,,,,,,,,,,,,,,,,,,,,
2014-12-31,24.844,24.896,24.693,24.74,,,,,,,,,,,,,,,,,,,,
2015-01-01,24.74,24.797,24.724,24.74,,,,,,,,,,,,,,,,,,,,
2015-01-02,24.744,24.744,24.453,24.486,,,,,,,,,,,,,,,,,,,,
2015-01-05,24.335,24.731,24.246,24.64,,,,,,,,,,,,,,,,,,,,
2015-01-06,24.631,25.01,24.626,24.81,,,,,,,,,,,,,,,,,,,,
2015-01-07,24.811,24.96,24.728,24.921,,,,,,,,,,,,,,,,,,,,
2015-01-08,24.917,25.066,24.843,25.014,,,,,,,,,,,,,,,,,,,,
2015-01-09,24.994,25.116,24.865,25.038,,,,,,,,,,,,,,,,,,,,
2015-01-12,25.112,25.112,24.726,24.829,,,,,,,,,,,,,,,,,,,,
2015-01-13,24.819,24.866,24.616,24.666,,,,,,,,,,,,,,,,,,,,
2015-01-14,24.667,24.771,24.45,24.564,,,,,,,,,,,,,,,,,,,,
2015-01-15,24.569,24.907,24.493,24.772,,,,,,,,,,,,,,,,,,,,
2015-01-16,24.771,24.882,24.446,24.578,,,,,,,,,,,,,,,,,,,,
2015-01-19,24.546,24.636,24.477,24.533,,,,,,,,,,,,,,,,,,,,
2015-01-20,24.503,24.527,24.154,24.323,,,,,,,,,,,,,,,,,,,,
2015-01-21,24.196,24.281,23.787,23.85,,,,,,,,,,,,,,,,,,,,
2015-01-22,23.84,23.868,23.514,23.514,,,,,,,,,,,,,,,,,,,,
2015-01-23,23.588,23.633,23.284,23.326,,,,,,,,,,,,,,,,,,,,
2015-01-26,23.201,23.387,23.167,23.253,,,,,,,,,,,,,,,,,,,,
2015-01-27,23.304,23.332,23.077,23.192,,,,,,,,,,,,,,,,,,,,
2015-01-28,23.193,23.423,22.846,22.86,,,,,,,,,,,,,,,,,,,,
2015-01-29,22.854,23.114,22.854,22.991,,,,,,,,,,,,,,,,,,,,
2015-01-30,23.002,23.094,22.81,23.037,,,,,,,,,,,,,,,,,,,,
2015-02-02,23.004,23.158,22.92,23.071,,,,,,,,,,,,,,,,,,,,
2015-02-03,23.077,23.331,22.692,23.169,,,,,,,,,,,,,,,,,,,,
2015-02-04,23.158,23.402,23.126,23.202,,,,,,,,,,,,,,,,,,,,
2015-02-05,23.176,23.399,23.106,23.338,,,,,,,,,,,,,,,,,,,,
2015-02-06,23.291,23.465,22.932,23.248,,,,,,,,,,,,,,,,,,,,
2015-02-09,23.232,23.515,23.189,23.389,,,,,,,,,,,,,,,,,,,,
2015-02-10,23.415,23.51,23.284,23.359,,,,,,,,,,,,,,,,,,,,
2015-02-11,23.392,23.466,23.294,23.329,,,,,,,,,,,,,,,,,,,,
2015-02-12,23.327,23.429,23.092,23.293,,,,,,,,,,,,,,,,,,,,
2015-02-13,23.29,23.448,23.29,23.393,,,,,,,,,,,,,,,,,,,,
2015-02-16,23.473,23.657,23.403,23.577,,,,,,,,,,,,,,,,,,,,
2015-02-17,23.545,23.843,23.539,23.817,,,,,,,,,,,,,,,,,,,,
2015-02-18,23.807,23.979,23.707,23.925,,,,,,,,,,,,,,,,,,,,
2015-02-19,23.914,24.006,23.82,23.843,,,,,,,,,,,,,,,,,,,,
2015-02-20,23.848,23.985,23.818,23.922,,,,,,,,,,,,,,,,,,,,
2015-02-23,23.923,23.965,23.783,23.898,,,,,,,,,,,,,,,,,,,,
2015-02-24,23.895,23.925,23.558,23.714,,,,,,,,,,,,,,,,,,,,
2015-02-25,23.694,23.885,23.629,23.816,,,,,,,,,,,,,,,,,,,,
2015-02-26,23.869,23.875,23.59,23.623,,,,,,,,,,,,,,,,,,,,
2015-02-27,23.611,23.772,23.611,23.731,,,,,,,,,,,,,,,,,,,,
2015-03-02,23.698,23.791,23.584,23.598,,,,,,,,,,,,,,,,,,,,
2015-03-03,23.598,23.805,23.562,23.656,,,,,,,,,,,,,,,,,,,,
2015-03-04,23.647,23.915,23.647,23.844,,,,,,,,,,,,,,,,,,,,
2015-03-05,23.838,23.879,23.473,23.579,,,,,,,,,,,,,,,,,,,,
2015-03-06,23.577,23.629,23.242,23.259,,,,,,,,,,,,,,,,,,,,
2015-03-09,23.273,23.295,23.086,23.167,,,,,,,,,,,,,,,,,,,,
2015-03-10,23.175,23.184,22.95,23.099,,,,,,,,,,,,,,,,,,,,
2015-03-11,23.108,23.135,22.802,23.073,,,,,,,,,,,,,,,,,,,,
2015-03-12,23.167,23.488,23.108,23.357,,,,,,,,,,,,,,,,,,,,
2015-03-13,23.355,23.397,23.191,23.259,,,,,,,,,,,,,,,,,,,,
2015-03-16,23.24,23.483,23.226,23.391,,,,,,,,,,,,,,,,,,,,
2015-03-17,23.39,23.42,23.052,23.08,,,,,,,,,,,,,,,,,,,,
2015-03-18,23.079,23.768,22.959,23.429,,,,,,,,,,,,,,,,,,,,
2015-03-19,23.483,23.584,23.227,23.369,,,,,,,,,,,,,,,,,,,,
2015-03-20,23.371,23.85,23.338,23.771,,,,,,,,,,,,,,,,,,,,
2015-03-23,23.75,24.092,23.686,24.058,,,,,,,,,,,,,,,,,,,,
2015-03-24,24.057,24.065,23.798,23.834,,,,,,,,,,,,,,,,,,,,
2015-03-25,23.85,24.016,23.737,23.756,,,,,,,,,,,,,,,,,,,,
2015-03-26,23.758,23.887,23.617,23.711,,,,,,,,,,,,,,,,,,,,
2015-03-27,23.723,23.76,23.572,23.609,,,,,,,,,,,,,,,,,,,,
2015-03-30,23.588,23.603,23.412,23.471,,,,,,,,,,,,,,,,,,,,
2015-03-31,23.47,23.503,23.333,23.339,,,,,,,,,,,,,,,,,,,,
2015-04-01,23.341,23.416,23.152,23.308,,,,,,,,,,,,,,,,,,,,
2015-04-02,23.296,23.435,23.217,23.339,,,,,,,,,,,,,,,,,,,,
2015-04-03,23.344,23.723,23.295,23.495,,,,,,,,,,,,,,,,,,,,
2015-04-06,23.556,23.567,23.274,23.362,,,,,,,,,,,,,,,,,,,,
2015-04-07,23.321,23.453,23.25,23.33,,,,,,,,,,,,,,,,,,,,
2015-04-08,23.328,23.612,23.323,23.485,,,,,,,,,,,,,,,,,,,,
2015-04-09,23.477,23.659,23.409,23.585,,,,,,,,,,,,,,,,,,,,
2015-04-10,23.617,23.666,23.445,23.526,,,,,,,,,,,,,,,,,,,,
2015-04-13,23.531,23.531,23.222,23.353,,,,,,,,,,,,,,,,,,,,
2015-04-14,23.36,23.559,23.249,23.456,,,,,,,,,,,,,,,,,,,,
2015-04-15,23.451,23.797,23.403,23.738,,,,,,,,,,,,,,,,,,,,
2015-04-16,23.738,23.973,23.652,23.849,,,,,,,,,,,,,,,,,,,,
2015-04-17,23.85,23.975,23.77,23.846,,,,,,,,,,,,,,,,,,,,
2015-04-20,23.909,23.971,23.733,23.829,,,,,,,,,,,,,,,,,,,,
2015-04-21,23.831,23.994,23.732,23.85,,,,,,,,,,,,,,,,,,,,
2015-04-22,23.882,24.025,23.739,23.74,,,,,,,,,,,,,,,,,,,,
