,Open,High,Low,Close
2014-11-07,23.719,23.774,23.673,23.751
2014-11-10,23.779,23.783,23.66,23.694
2014-11-11,23.677,23.731,23.664,23.688
2014-11-12,23.689,23.772,23.655,23.731
2014-11-13,23.723,23.74,23.67,23.723
2014-11-14,23.725,23.754,23.559,23.742
2014-11-17,23.754,23.778,23.617,23.664
2014-11-18,23.662,23.737,23.643,23.708
2014-11-19,23.702,23.714,23.598,23.599
2014-11-20,23.598,23.809,23.598,23.793
2014-11-21,23.785,23.853,23.756,23.756
2014-11-24,23.742,23.811,23.742,23.805
2014-11-25,23.805,23.826,23.584,23.821
2014-11-26,23.825,23.85,23.719,23.84
2014-11-27,23.838,23.839,23.761,23.808
2014-11-28,23.746,23.806,23.723,23.8
2014-12-01,23.771,23.821,23.693,23.797
2014-12-02,23.814,23.821,23.712,23.749
2014-12-03,23.747,23.781,23.695,23.745
2014-12-04,23.746,23.78,23.655,23.761
2014-12-05,23.763,23.763,23.544,23.642
2014-12-08,23.602,23.683,23.558,23.641
2014-12-09,23.638,23.727,23.555,23.704
2014-12-10,23.704,23.831,23.659,23.823
2014-12-11,23.832,23.865,23.734,23.78
2014-12-12,23.783,23.91,23.756,23.838
2014-12-15,23.875,23.894,23.777,23.891
2014-12-16,23.891,24.026,23.834,23.996
2014-12-17,24.002,24.058,23.899,23.9
2014-12-18,23.9,23.955,23.838,23.924
2014-12-19,23.92,23.976,23.87,23.926
2014-12-22,23.94,23.992,23.888,23.981
2014-12-23,23.981,24.024,23.921,23.96
2014-12-24,23.961,24.092,23.959,24.061
2014-12-25,24.062,24.09,23.953,24.081
2014-12-26,23.984,24.102,23.942,24.054
2014-12-30,23.985,24.072,23.929,24.012
2014-12-31,24.012,24.023,23.846,23.941
2015-01-01,23.941,23.996,23.941,23.991
2015-01-02,23.984,23.99,23.853,23.884
2015-01-05,23.83,24.019,23.794,24.011
2015-01-06,24.011,24.066,23.951,23.995
2015-01-07,23.997,24.014,23.87,23.923
2015-01-08,23.925,23.985,23.878,23.947
2015-01-09,23.946,23.985,23.85,23.966
2015-01-12,23.985,24.009,23.863,23.914
2015-01-13,23.92,23.924,23.812,23.899
2015-01-14,23.905,23.928,23.772,23.848
2015-01-15,23.851,24.031,23.782,23.909
2015-01-16,23.91,23.931,23.734,23.777
2015-01-19,23.773,23.821,23.613,23.646
2015-01-20,23.658,23.696,23.547,23.694
2015-01-21,23.641,23.726,23.556,23.586
2015-01-22,23.584,23.62,23.449,23.45
2015-01-23,23.457,23.506,23.251,23.252
2015-01-26,23.233,23.378,23.197,23.275
2015-01-27,23.33,23.342,23.108,23.24
2015-01-28,23.241,23.243,22.999,23.073
2015-01-29,23.073,23.373,23.059,23.355
2015-01-30,23.356,23.45,23.266,23.439
2015-02-02,23.454,23.461,23.332,23.384
2015-02-03,23.378,23.455,23.294,23.429
2015-02-04,23.428,23.458,23.309,23.329
2015-02-05,23.31,23.488,23.26,23.474
2015-02-06,23.396,23.499,23.131,23.35
2015-02-09,23.337,23.375,23.254,23.346
2015-02-10,23.351,23.373,23.238,23.324
2015-02-11,23.31,23.318,23.187,23.245
2015-02-12,23.247,23.282,23.014,23.134
2015-02-13,23.145,23.206,23.122,23.182
2015-02-16,23.173,23.212,23.006,23.183
2015-02-17,23.171,23.318,23.164,23.308
2015-02-18,23.307,23.388,23.212,23.386
2015-02-19,23.387,23.401,23.278,23.337
2015-02-20,23.337,23.403,23.315,23.37
2015-02-23,23.387,23.389,23.256,23.361
2015-02-24,23.36,23.388,23.187,23.334
2015-02-25,23.337,23.361,23.153,23.285
2015-02-26,23.279,23.286,23.096,23.12
2015-02-27,23.119,23.206,23.017,23.017
2015-03-02,23.016,23.096,22.977,23.019
2015-03-03,23.018,23.091,22.973,22.993
2015-03-04,22.994,23.074,22.951,22.977
2015-03-05,22.975,23.022,22.937,22.968
2015-03-06,22.968,23.029,22.817,22.95
2015-03-09,22.922,22.923,22.792,22.86
2015-03-10,22.861,22.891,22.741,22.814
2015-03-11,22.829,22.908,22.789,22.837
2015-03-12,22.837,22.996,22.826,22.87
2015-03-13,22.871,22.881,22.754,22.761
2015-03-16,22.777,22.839,22.702,22.803
2015-03-17,22.804,22.835,22.691,22.736
2015-03-18,22.735,22.885,22.544,22.736
2015-03-19,22.741,22.813,22.642,22.708
2015-03-20,22.709,22.822,22.648,22.759
2015-03-23,22.791,22.981,22.707,22.963
2015-03-24,22.963,22.963,22.809,22.845
2015-03-25,22.848,22.936,22.766,22.841
2015-03-26,22.831,22.932,22.772,22.785
2015-03-27,22.799,22.853,22.769,22.799
2015-03-30,22.769,22.795,22.691,22.748
2015-03-31,22.748,22.819,22.684,22.777
2015-04-01,22.779,22.99,22.761,22.955
2015-04-02,22.955,22.981,22.875,22.899
2015-04-03,22.899,23.092,22.86,22.909
2015-04-06,22.931,22.937,22.825,22.86
2015-04-07,22.824,22.963,22.788,22.855
2015-04-08,22.853,23.025,22.844,22.911
2015-04-09,22.897,23.021,22.886,22.947
2015-04-10,22.946,22.966,22.833,22.836
