,Open,High,Low,Close
2014-11-07,0.9336,0.9349,0.9299,0.933
2014-11-10,0.933,0.9349,0.9303,0.9318
2014-11-11,0.9312,0.9318,0.9295,0.9309
2014-11-12,0.9313,0.9335,0.93,0.9316
2014-11-13,0.9313,0.9347,0.9308,0.9341
2014-11-14,0.9341,0.9386,0.9317,0.9358
2014-11-17,0.9358,0.9395,0.9317,0.9366
2014-11-18,0.9368,0.9396,0.9354,0.9391
2014-11-19,0.9389,0.9435,0.9366,0.9427
2014-11-20,0.9427,0.9436,0.9398,0.9427
2014-11-21,0.9427,0.9446,0.9412,0.9421
2014-11-24,0.9429,0.9448,0.9424,0.9441
2014-11-25,0.9441,0.9452,0.9359,0.9434
2014-11-26,0.9434,0.9448,0.9406,0.9443
2014-11-27,0.9428,0.9445,0.9406,0.9428
2014-11-28,0.9413,0.9443,0.9409,0.944
2014-12-01,0.944,0.9485,0.9419,0.9479
2014-12-02,0.9479,0.9479,0.9442,0.947
2014-12-03,0.947,0.9487,0.9441,0.9481
2014-12-04,0.9481,0.9481,0.9443,0.9474
2014-12-05,0.9473,0.9481,0.9431,0.947
2014-12-08,0.946,0.9474,0.9415,0.9439
2014-12-09,0.9439,0.95,0.9415,0.9472
2014-12-10,0.9472,0.9527,0.9456,0.9525
2014-12-11,0.9511,0.9531,0.9483,0.9513
2014-12-12,0.9513,0.9556,0.9507,0.9545
2014-12-15,0.9545,0.9553,0.9461,0.9498
2014-12-16,0.9501,0.9507,0.9462,0.9471
2014-12-17,0.9471,0.9532,0.9467,0.9515
2014-12-18,0.9514,0.9574,0.9487,0.9565
2014-12-19,0.9562,0.959,0.9543,0.9581
2014-12-22,0.9581,0.9621,0.9568,0.9615
2014-12-23,0.9615,0.9654,0.9593,0.9644
2014-12-24,0.9644,0.9689,0.9644,0.9676
2014-12-25,0.9683,0.9683,0.9627,0.9676
2014-12-26,0.9644,0.9676,0.962,0.9676
2014-12-30,0.9626,0.9674,0.9616,0.9652
2014-12-31,0.9652,0.9656,0.9595,0.9644
2015-01-01,0.9644,0.9647,0.9639,0.9644
2015-01-02,0.9644,0.9647,0.961,0.9646
2015-01-05,0.9646,0.9724,0.9615,0.9716
2015-01-06,0.9716,0.975,0.9689,0.9736
2015-01-07,0.9737,0.9749,0.9711,0.9737
2015-01-08,0.9737,0.9753,0.971,0.9739
2015-01-09,0.9739,0.9755,0.9698,0.9721
2015-01-12,0.9721,0.973,0.9675,0.9699
2015-01-13,0.9699,0.9719,0.9664,0.97
2015-01-14,0.97,0.9727,0.9666,0.9704
2015-01-15,0.9704,0.9715,0.9658,0.9669
2015-01-16,0.9669,0.9699,0.9646,0.9667
2015-01-19,0.9667,0.9699,0.9616,0.9669
2015-01-20,0.967,0.969,0.9628,0.969
2015-01-21,0.9672,0.9683,0.9627,0.9667
2015-01-22,0.9667,0.968,0.9629,0.964
2015-01-23,0.9644,0.9653,0.9583,0.959
2015-01-26,0.959,0.9636,0.9584,0.961
2015-01-27,0.9626,0.9633,0.9531,0.9563
2015-01-28,0.9563,0.9605,0.953,0.9582
