,Open,High,Low,Close
2005-11-08,33.69,33.716,33.638,33.716
2005-11-09,33.716,33.716,33.616,33.648
2005-11-10,33.648,33.662,33.595,33.605
2005-11-11,33.605,33.605,33.458,33.473
2005-11-14,33.473,33.475,33.372,33.395
2005-11-15,33.395,33.512,33.3,33.512
2005-11-16,33.512,33.655,33.415,33.622
2005-11-17,33.622,33.676,33.56,33.629
2005-11-18,33.629,33.631,33.545,33.631
2005-11-21,33.631,33.652,33.54,33.617
2005-11-22,33.617,33.645,33.565,33.622
2005-11-23,33.622,33.622,33.48,33.487
2005-11-24,33.487,33.487,33.42,33.486
2005-11-25,33.486,33.566,33.43,33.55
2005-11-28,33.55,33.61,33.48,33.598
2005-11-29,33.598,33.598,33.5,33.52
2005-11-30,33.52,33.524,33.445,33.516
2005-12-01,33.516,33.568,33.426,33.563
2005-12-02,33.563,33.643,33.485,33.53
2005-12-05,33.53,33.53,33.455,33.493
2005-12-06,33.493,33.493,33.405,33.461
2005-12-07,33.461,33.486,33.381,33.485
2005-12-08,33.485,33.512,33.39,33.501
2005-12-09,33.501,33.524,33.45,33.517
2005-12-12,33.517,33.585,33.42,33.554
2005-12-13,33.554,33.554,33.455,33.498
2005-12-14,33.498,33.498,33.353,33.362
2005-12-15,33.362,33.362,33.201,33.225
2005-12-16,33.225,33.225,33.135,33.174
2005-12-19,33.174,33.195,33.101,33.187
2005-12-20,33.187,33.255,33.1,33.25
2005-12-21,33.25,33.292,33.175,33.256
2005-12-22,33.256,33.295,33.207,33.261
2005-12-23,33.261,33.261,33.15,33.178
2005-12-26,33.178,33.178,33.085,33.098
2005-12-27,33.098,33.136,33.08,33.132
2005-12-28,33.132,33.148,33.06,33.107
2005-12-29,33.107,33.132,32.895,32.908
2005-12-30,32.908,32.908,32.795,32.85
2006-01-02,32.85,32.875,32.78,32.818
2006-01-03,32.818,32.818,32.595,32.645
2006-01-04,32.645,32.645,32.33,32.33
2006-01-05,32.33,32.33,32.0,32.016
2006-01-06,32.016,32.23,31.95,32.198
2006-01-09,32.198,32.198,31.85,31.952
2006-01-10,31.952,32.032,31.952,32.021
2006-01-11,32.021,32.08,32.021,32.07
2006-01-12,31.94,31.94,31.826,31.88
2006-01-13,31.83,32.018,31.83,31.995
2006-01-16,31.86,31.927,31.86,31.927
2006-01-17,31.85,32.051,31.85,31.999
2006-01-18,32.102,32.182,32.065,32.125
2006-01-19,32.095,32.14,32.031,32.14
2006-01-20,32.08,32.218,32.08,32.103
2006-01-23,32.045,32.065,31.95,31.983
2006-01-24,31.897,31.98,31.886,31.98
2006-01-25,31.985,32.071,31.93,31.97
2006-01-26,31.93,32.015,31.93,31.961
2006-01-27,31.965,32.052,31.965,31.985
2006-02-03,31.93,32.094,31.93,32.084
2006-02-06,32.08,32.12,32.043,32.095
2006-02-07,32.005,32.242,32.005,32.231
2006-02-08,32.1,32.35,32.1,32.35
2006-02-09,32.231,32.512,32.231,32.42
2006-02-10,32.322,32.445,32.255,32.267
2006-02-13,32.2,32.408,32.2,32.374
2006-02-14,32.271,32.385,32.271,32.3
2006-02-15,32.23,32.37,32.23,32.352
2006-02-16,32.253,32.405,32.253,32.401
2006-02-17,32.37,32.457,32.37,32.39
2006-02-20,32.3,32.4,32.3,32.4
2006-02-21,32.355,32.483,32.355,32.483
2006-02-22,32.3,32.646,32.3,32.646
2006-02-23,32.55,32.675,32.5,32.57
2006-02-24,32.35,32.515,32.35,32.492
2006-02-27,32.361,32.5,32.3,32.455
2006-03-01,32.35,32.43,32.275,32.283
2006-03-02,32.2,32.31,32.2,32.31
2006-03-03,32.23,32.401,32.23,32.401
2006-03-06,32.302,32.51,32.302,32.473
2006-03-07,32.311,32.555,32.311,32.529
2006-03-08,32.46,32.546,32.411,32.53
2006-03-09,32.41,32.55,32.41,32.523
2006-03-10,32.402,32.572,32.402,32.513
2006-03-13,32.4,32.561,32.4,32.5
2006-03-14,32.0,32.486,32.0,32.434
2006-03-15,32.23,32.4,32.23,32.4
2006-03-16,32.2,32.46,32.2,32.445
