,Open,High,Low,Close
2014-11-07,2.7257,2.7257,2.7117,2.7173
2014-11-10,2.7241,2.7349,2.7113,2.7137
2014-11-11,2.7206,2.7303,2.7206,2.7269
2014-11-12,2.7275,2.7433,2.7191,2.7308
2014-11-13,2.7305,2.7425,2.7258,2.7312
2014-11-14,2.7312,2.7805,2.7255,2.7778
2014-11-17,2.7763,2.7841,2.7544,2.7632
2014-11-18,2.7621,2.7966,2.7604,2.7907
2014-11-19,2.7898,2.8073,2.7819,2.7954
2014-11-20,2.7959,2.8275,2.7893,2.8219
2014-11-21,2.8216,2.8338,2.8111,2.821
2014-11-24,2.8103,2.8156,2.8035,2.8148
2014-11-25,2.815,2.8306,2.7818,2.8276
2014-11-26,2.8269,2.8287,2.8065,2.8237
2014-11-27,2.8234,2.8243,2.8112,2.8175
2014-11-28,2.8112,2.8164,2.7978,2.8158
2014-12-01,2.7987,2.8349,2.786,2.826
2014-12-02,2.8262,2.827,2.7922,2.7998
2014-12-03,2.7999,2.8025,2.7678,2.7786
2014-12-04,2.779,2.7906,2.7691,2.7824
2014-12-05,2.7825,2.7845,2.7449,2.7569
2014-12-08,2.7469,2.7524,2.6924,2.7021
2014-12-09,2.7019,2.7369,2.6952,2.7277
2014-12-10,2.7277,2.7311,2.6888,2.7067
2014-12-11,2.7068,2.7195,2.6803,2.6875
2014-12-12,2.6877,2.7041,2.6726,2.7007
2014-12-15,2.7082,2.7132,2.6523,2.6761
2014-12-16,2.6764,2.6958,2.6556,2.6822
2014-12-17,2.6828,2.7373,2.665,2.6937
2014-12-18,2.6933,2.7347,2.6837,2.72
2014-12-19,2.7209,2.7261,2.7069,2.7235
2014-12-22,2.719,2.7427,2.714,2.7327
2014-12-23,2.7327,2.7463,2.7234,2.7276
2014-12-24,2.7274,2.7377,2.7212,2.7355
2014-12-25,2.7355,2.7432,2.7226,2.7378
2014-12-26,2.7315,2.7488,2.7217,2.7308
2014-12-30,2.7338,2.7475,2.725,2.743
2014-12-31,2.743,2.7492,2.725,2.7426
2015-01-01,2.7426,2.7486,2.7426,2.7471
2015-01-02,2.746,2.7472,2.7102,2.7154
2015-01-05,2.7116,2.7415,2.7094,2.7364
2015-01-06,2.7363,2.7454,2.7181,2.7312
2015-01-07,2.7309,2.7441,2.7235,2.7418
2015-01-08,2.7416,2.7713,2.7308,2.7648
2015-01-09,2.7649,2.7857,2.7506,2.7794
2015-01-12,2.7828,2.7855,2.7663,2.7705
2015-01-13,2.7705,2.7778,2.7622,2.7661
2015-01-14,2.7663,2.7844,2.7363,2.7793
2015-01-15,2.7777,2.78,2.739,2.7429
2015-01-16,2.7413,2.7463,2.7162,2.7285
2015-01-19,2.7297,2.7341,2.6993,2.7085
2015-01-20,2.7103,2.7358,2.7026,2.7349
2015-01-21,2.7302,2.7423,2.7145,2.7342
2015-01-22,2.7341,2.7683,2.7226,2.7567
2015-01-23,2.7565,2.7591,2.7279,2.7415
2015-01-26,2.73,2.7479,2.7233,2.7314
2015-01-27,2.7371,2.7403,2.6787,2.6867
2015-01-28,2.6871,2.7172,2.6846,2.697
2015-01-29,2.6967,2.7427,2.6955,2.7352
2015-01-30,2.7353,2.7381,2.7117,2.7215
2015-02-02,2.7271,2.7518,2.715,2.7497
2015-02-03,2.7494,2.7748,2.7312,2.7735
2015-02-04,2.7734,2.7737,2.7372,2.7419
2015-02-05,2.7401,2.803,2.7308,2.8
2015-02-06,2.7865,2.797,2.7311,2.7484
2015-02-09,2.7427,2.7499,2.7232,2.7284
2015-02-10,2.7284,2.7333,2.6945,2.7036
2015-02-11,2.7033,2.7084,2.6605,2.6753
2015-02-12,2.6754,2.6827,2.6557,2.6791
2015-02-13,2.6795,2.6999,2.6735,2.6918
2015-02-16,2.6956,2.7035,2.6778,2.6998
2015-02-17,2.6992,2.7249,2.6966,2.706
2015-02-18,2.706,2.7372,2.6991,2.7338
2015-02-19,2.7329,2.7356,2.7132,2.7168
2015-02-20,2.7164,2.7372,2.7151,2.7331
2015-02-23,2.7355,2.7358,2.7055,2.7309
2015-02-24,2.7309,2.7685,2.7075,2.7585
2015-02-25,2.7552,2.7601,2.7374,2.7538
2015-02-26,2.7428,2.7552,2.7186,2.7195
2015-02-27,2.7195,2.7369,2.6838,2.6886
2015-03-02,2.6917,2.702,2.6686,2.6714
2015-03-03,2.6703,2.6809,2.6588,2.6647
2015-03-04,2.6647,2.6775,2.6519,2.665
2015-03-05,2.6616,2.684,2.6539,2.66
2015-03-06,2.6599,2.6701,2.613,2.6233
2015-03-09,2.6238,2.6311,2.6015,2.6083
2015-03-10,2.608,2.6087,2.565,2.567
2015-03-11,2.5675,2.5892,2.5552,2.5875
2015-03-12,2.586,2.601,2.5623,2.5716
2015-03-13,2.5717,2.5768,2.5328,2.5402
2015-03-16,2.5427,2.5629,2.5378,2.5589
2015-03-17,2.5589,2.559,2.5418,2.5562
2015-03-18,2.5562,2.6158,2.5454,2.5922
2015-03-19,2.5917,2.6081,2.5501,2.5605
2015-03-20,2.56,2.621,2.5569,2.6146
2015-03-23,2.6083,2.6385,2.5902,2.6366
2015-03-24,2.6362,2.6525,2.6176,2.6434
2015-03-25,2.6433,2.6588,2.633,2.6398
2015-03-26,2.6398,2.6447,2.6018,2.6043
2015-03-27,2.6043,2.6105,2.5894,2.5901
2015-03-30,2.5933,2.6003,2.5709,2.5788
2015-03-31,2.5788,2.5825,2.56,2.5773
2015-04-01,2.5773,2.6162,2.5744,2.6094
2015-04-02,2.6091,2.6142,2.5899,2.5993
2015-04-03,2.5989,2.6443,2.5939,2.6234
2015-04-06,2.6263,2.6439,2.6151,2.6197
2015-04-07,2.6188,2.6395,2.6146,2.62
2015-04-08,2.6179,2.6418,2.616,2.6304
2015-04-09,2.6301,2.6397,2.6072,2.6117
2015-04-10,2.6103,2.6154,2.5906,2.6043
2015-04-13,2.6048,2.6051,2.5684,2.5821
2015-04-14,2.5826,2.6102,2.5701,2.6013
2015-04-15,2.5991,2.6027,2.5637,2.59
2015-04-16,2.5912,2.6117,2.5768,2.6059
2015-04-17,2.6056,2.6056,2.5669,2.5721
2015-04-20,2.575,2.5853,2.5559,2.5612
2015-04-21,2.5612,2.5782,2.5511,2.5658
2015-04-22,2.5706,2.5753,2.5374,2.5425
2015-04-23,2.5421,2.5626,2.5259,2.5528
2015-04-24,2.5493,2.5557,2.522,2.5439
2015-04-27,2.539,2.5534,2.5185,2.5481
2015-04-28,2.5481,2.5858,2.5333,2.5727
2015-04-29,2.5726,2.6039,2.5616,2.584
2015-04-30,2.5824,2.5995,2.5632,2.5796
2015-05-01,2.5749,2.5764,2.5386,2.5432
2015-05-04,2.5441,2.5575,2.5417,2.5485
2015-05-05,2.5465,2.5743,2.5403,2.5663
2015-05-06,2.5664,2.571,2.5483,2.5499
2015-05-07,2.55,2.571,2.5375,2.5616
2015-05-08,2.5582,2.5774,2.5451,2.5727
2015-05-11,2.5694,2.5741,2.5472,2.5484
2015-05-12,2.5484,2.5594,2.5304,2.5578
2015-05-13,2.5577,2.5975,2.5431,2.5806
2015-05-14,2.5811,2.5922,2.5632,2.591
2015-05-15,2.5878,2.5929,2.5711,2.5892
2015-05-18,2.5792,2.5845,2.5625,2.5646
2015-05-19,2.5646,2.5727,2.5542,2.5605
2015-05-20,2.5601,2.5891,2.5479,2.5812
2015-05-21,2.5813,2.5987,2.5659,2.5702
2015-05-22,2.5706,2.582,2.559,2.5628
2015-05-25,2.5564,2.5632,2.5477,2.555
2015-05-26,2.5558,2.559,2.5339,2.541
2015-05-27,2.5408,2.5545,2.526,2.5537
2015-05-28,2.545,2.5539,2.5146,2.5283
2015-05-29,2.5283,2.5448,2.5201,2.5424
2015-06-01,2.535,2.538,2.5069,2.5155
2015-06-02,2.5164,2.5349,2.5048,2.5326
2015-06-03,2.5333,2.5335,2.5058,2.5085
2015-06-04,2.5088,2.5146,2.4883,2.499
2015-06-05,2.4988,2.4993,2.4568,2.476
2015-06-08,2.4674,2.5032,2.4471,2.497
2015-06-09,2.4968,2.5117,2.4803,2.5021
2015-06-10,2.5024,2.5168,2.4901,2.5112
2015-06-11,2.5122,2.5139,2.4866,2.5052
2015-06-12,2.5078,2.5119,2.4879,2.5006
2015-06-15,2.4931,2.4989,2.4798,2.4966
2015-06-16,2.49,2.5025,2.4789,2.5017
2015-06-17,2.5015,2.5284,2.4841,2.5219
2015-06-18,2.5203,2.5278,2.5027,2.5085
2015-06-19,2.5087,2.5346,2.5035,2.5335
2015-06-22,2.5306,2.5463,2.5241,2.5435
2015-06-23,2.543,2.5538,2.5193,2.5396
2015-06-24,2.5407,2.556,2.5329,2.5455
2015-06-25,2.5473,2.5697,2.5424,2.5573
2015-06-26,2.5594,2.5638,2.533,2.5429
2015-06-29,2.5142,2.5357,2.5084,2.5308
2015-06-30,2.5244,2.5516,2.5144,2.541
2015-07-01,2.5411,2.5457,2.5217,2.5249
2015-07-02,2.525,2.5278,2.5067,2.5278
2015-07-03,2.5238,2.5253,2.506,2.5128
2015-07-06,2.4951,2.5085,2.4857,2.5014
2015-07-07,2.4989,2.5036,2.4757,2.4981
2015-07-08,2.4981,2.5017,2.4671,2.4693
2015-07-09,2.4689,2.496,2.4657,2.484
2015-07-10,2.4868,2.5057,2.4799,2.491
2015-07-13,2.4867,2.5085,2.4792,2.5073
2015-07-14,2.498,2.5199,2.4881,2.5188
2015-07-15,2.5179,2.5184,2.4954,2.5051
2015-07-16,2.5056,2.5243,2.4971,2.5165
2015-07-17,2.5157,2.5264,2.5063,2.52
2015-07-20,2.5151,2.5201,2.5004,2.5153
2015-07-21,2.511,2.5346,2.5052,2.5341
2015-07-22,2.5342,2.5342,2.512,2.5217
2015-07-23,2.5218,2.5237,2.5065,2.5069
2015-07-24,2.5144,2.5188,2.4886,2.5016
2015-07-27,2.4928,2.5104,2.489,2.5027
2015-07-28,2.5035,2.5116,2.4845,2.5033
2015-07-29,2.5035,2.5234,2.4958,2.5078
2015-07-30,2.5074,2.5084,2.4765,2.4891
2015-07-31,2.4893,2.5103,2.4728,2.5018
2015-08-03,2.4921,2.5027,2.48,2.5014
2015-08-04,2.5018,2.5033,2.481,2.4821
2015-08-05,2.4825,2.4874,2.4725,2.4785
2015-08-06,2.4794,2.4921,2.4766,2.4899
2015-08-07,2.4899,2.519,2.4784,2.513
2015-08-10,2.513,2.514,2.4913,2.5013
