Close,Max_14,Min_14,Max_50,Min_50,Max_90,Min_90,MA_50,MA_200,MACD,ATR,Pivot_Points,Bearish_Candlestick_Patterns,buy,sell,Return_Since_Last_Buy,Days_Since_Last_Buy
4.3717,4.386,4.357,4.4656,4.3373,,,4.38258,,-0.002579345366010344,4.376828571428571,4.3717,4.357,0,0,0.0,0
4.3741,4.386,4.357,4.4656,4.3373,,,4.380878,,-0.002202820967302621,4.376714285714286,4.3741,4.357,0,0,0.0,0
4.3599,4.386,4.357,4.4656,4.3373,,,4.378916,,-0.003015483378944417,4.3750285714285715,4.3741,4.3599,0,0,0.0,0
4.3715,4.386,4.357,4.4596,4.3373,,,4.377034,,-0.002692464090299218,4.374007142857143,4.3741,4.3599,0,0,0.0,0
4.3664,4.386,4.357,4.456,4.3373,,,4.37517,,-0.0028155405554324275,4.3729571428571425,4.3715,4.3599,0,0,0.0,0
4.3655,4.386,4.357,4.4476,4.3373,,,4.37336,,-0.0029516769249191555,4.372535714285714,4.3715,4.3655,0,0,0.0,0
4.3571,4.386,4.357,4.4444,4.3373,,,4.37155,,-0.003694784599874268,4.370971428571428,4.3664,4.3571,0,0,0.0,0
4.3624,4.386,4.357,4.4362,4.3373,,,4.369910000000001,,-0.0038120936375181103,4.369635714285715,4.3655,4.3571,0,0,0.0,0
4.3391,4.386,4.3391,4.4324,4.3373,,,4.367967999999999,,-0.005719249223848699,4.366471428571429,4.3624,4.3391,0,0,0.0,0
4.3396,4.386,4.3391,4.4078,4.3373,,,4.366112,,-0.0071083967718417185,4.363757142857143,4.3624,4.3391,0,0,0.0,0
4.3204,4.3827,4.3204,4.3915,4.3204,,,4.364364,,-0.009647376796373841,4.359071428571428,4.3396,4.3204,0,0,0.0,0
4.3051,4.3741,4.3051,4.3915,4.3051,,,4.362691999999999,,-0.012747177364922813,4.353528571428572,4.3396,4.3051,0,0,0.0,0
4.3185,4.3741,4.3051,4.3915,4.3051,,,4.361284,,-0.01396158319652141,4.350592857142857,4.3204,4.3051,0,0,0.0,0
4.3359,4.3741,4.3051,4.3915,4.3051,,,4.360472000000001,,-0.013365900207643833,4.349085714285715,4.3359,4.3051,0,0,0.0,0
4.3362,4.3741,4.3051,4.3886,4.3051,,,4.359366,,-0.012722947436213161,4.34655,4.3362,4.3185,0,0,0.0,0
4.3619,4.3715,4.3051,4.386,4.3051,,,4.3588320000000005,,-0.010024076205762178,4.3456785714285715,4.3619,4.3359,0,0,0.0,0
4.3744,4.3744,4.3051,4.386,4.3051,,,4.359128,,-0.006798190470157728,4.3467142857142855,4.3744,4.3362,0,0,0.0,0
4.3466,4.3744,4.3051,4.386,4.3051,,,4.358943999999999,,-0.006410978677645396,4.344935714285714,4.3744,4.3466,0,0,0.0,0
4.3538,4.3744,4.3051,4.386,4.3051,,,4.358878,,-0.005460189054707243,4.344035714285715,4.3744,4.3466,0,0,0.0,0
4.3529,4.3744,4.3051,4.386,4.3051,,,4.358396,,-0.0047248389050578155,4.343135714285714,4.3538,4.3466,0,0,0.0,0
4.3712,4.3744,4.3051,4.386,4.3051,,,4.358466,,-0.0026350364925971093,4.344142857142857,4.3712,4.3529,0,0,0.0,0
4.3326,4.3744,4.3051,4.386,4.3051,,,4.358174,,-0.004046900283488419,4.342014285714286,4.3712,4.3326,0,0,0.0,0
4.3361,4.3744,4.3051,4.386,4.3051,,,4.357928,,-0.004827740572266315,4.3418,4.3712,4.3326,0,0,0.0,0
4.3255,4.3744,4.3051,4.386,4.3051,,,4.357422,,-0.006230077088291708,4.340792857142858,4.3361,4.3255,0,0,0.0,0
4.3321,4.3744,4.3051,4.386,4.3051,,,4.357072,,-0.006731280032889586,4.341628571428571,4.3361,4.3255,0,0,0.0,0
4.3342,4.3744,4.3185,4.386,4.3051,,,4.356386,,-0.006879729291102699,4.343707142857143,4.3342,4.3255,0,0,0.0,0
4.3266,4.3744,4.3255,4.386,4.3051,,,4.3558639999999995,,-0.007523902022852802,4.344285714285714,4.3342,4.3266,0,0,0.0,0
4.3383,4.3744,4.3255,4.386,4.3051,,,4.355564,,-0.007009519952026366,4.344457142857142,4.3383,4.3266,0,0,0.0,0
4.341,4.3744,4.3255,4.386,4.3051,,,4.355384,,-0.0063112488714409665,4.3448,4.341,4.3266,0,0,0.0,0
4.3343,4.3744,4.3255,4.386,4.3051,4.5441,4.3051,4.3553239999999995,,-0.006226720259912,4.342828571428571,4.341,4.3343,0,0,0.0,0
4.3354,4.3712,4.3255,4.386,4.3051,4.5278,4.3051,4.355202,,-0.006001785076977129,4.340042857142857,4.341,4.3343,0,0,0.0,0
4.3411,4.3712,4.3255,4.386,4.3051,4.5084,4.3051,4.3550699999999996,,-0.005302456542461087,4.339650000000001,4.3411,4.3343,0,0,0.0,0
4.3211,4.3712,4.3211,4.386,4.3051,4.5049,4.3051,4.3543199999999995,,-0.006289564311231288,4.337314285714286,4.3411,4.3211,0,0,0.0,0
4.3173,4.3712,4.3173,4.386,4.3051,4.4884,4.3051,4.35339,,-0.007294397300310784,4.334771428571428,4.3411,4.3173,0,0,0.0,0
4.3183,4.3411,4.3173,4.386,4.3051,4.4868,4.3051,4.352558,,-0.00791876049915885,4.330992857142857,4.3211,4.3173,0,0,0.0,0
4.2909,4.3411,4.2909,4.386,4.2909,4.4772,4.2909,4.351214,,-0.010503446646414005,4.328014285714286,4.3183,4.2909,0,0,0.0,0
4.3036,4.3411,4.2909,4.386,4.2909,4.4772,4.2909,4.3503300000000005,,-0.01139568283988801,4.325692857142857,4.3183,4.2909,0,0,0.0,0
4.3097,4.3411,4.2909,4.386,4.2909,4.4772,4.2909,4.34901,,-0.011478253272497518,4.324564285714286,4.3097,4.2909,0,0,0.0,0
4.3162,4.3411,4.2909,4.386,4.2909,4.4772,4.2909,4.347664,,-0.010893620383260583,4.323428571428571,4.3162,4.3036,0,0,0.0,0
4.3062,4.3411,4.2909,4.386,4.2909,4.472,4.2909,4.3460719999999995,,-0.011109151648008186,4.321428571428571,4.3162,4.3062,0,0,0.0,0
4.3092,4.3411,4.2909,4.386,4.2909,4.4656,4.2909,4.344634,,-0.010912098916423751,4.3201857142857145,4.3162,4.3062,0,0,0.0,0
4.3013,4.3411,4.2909,4.386,4.2909,4.4656,4.2909,4.3432319999999995,,-0.011263557899752641,4.317542857142857,4.3092,4.3013,0,0,0.0,0
4.3159,4.3411,4.2909,4.386,4.2909,4.4656,4.2909,4.34197,,-0.0102458855032177,4.31575,4.3159,4.3013,0,0,0.0,0
4.3134,4.3411,4.2909,4.386,4.2909,4.4596,4.2909,4.340616,,-0.009531231796494843,4.314257142857143,4.3159,4.3013,0,0,0.0,0
4.3209,4.3411,4.2909,4.386,4.2909,4.456,4.2909,4.339366,,-0.008264409299244768,4.3132214285714285,4.3209,4.3134,0,0,0.0,0
4.3195,4.3211,4.2909,4.386,4.2909,4.4476,4.2909,4.338204,,-0.007289384159812506,4.311678571428571,4.3209,4.3134,0,0,0.0,0
4.3193,4.3209,4.2909,4.3827,4.2909,4.4444,4.2909,4.33687,,-0.006458360085786374,4.31155,4.3209,4.3193,0,0,0.0,0
4.3219,4.3219,4.2909,4.3744,4.2909,4.4362,4.2909,4.335654,,-0.005526265895757554,4.311878571428571,4.3219,4.3193,0,0,0.0,0
4.3281,4.3281,4.2909,4.3744,4.2909,4.4324,4.2909,4.335024000000001,,-0.004238428386238446,4.312578571428571,4.3281,4.3193,0,0,0.0,0
4.3213,4.3281,4.3013,4.3744,4.2909,4.4078,4.2909,4.334309999999999,,-0.0037235878487384966,4.31475,4.3281,4.3213,0,0,0.0,0
4.324,4.3281,4.3013,4.3744,4.2909,4.3915,4.2909,4.333356,,-0.0030624040903122207,4.316207142857143,4.3281,4.3213,0,0,0.0,0
4.3348,4.3348,4.3013,4.3744,4.2909,4.3915,4.2909,4.3325700000000005,,-0.0016479449737074603,4.318,4.3348,4.3213,0,0,0.0,0
4.3219,4.3348,4.3013,4.3744,4.2909,4.3915,4.2909,4.33181,,-0.0015500303384898828,4.318407142857143,4.3348,4.3219,0,0,0.0,0
4.3161,4.3348,4.3013,4.3744,4.2909,4.3915,4.2909,4.330702,,-0.0019183304922263389,4.319114285714286,4.3348,4.3161,0,0,0.0,0
4.3149,4.3348,4.3013,4.3744,4.2909,4.3886,4.2909,4.3296719999999995,,-0.0022807499233046258,4.319521428571429,4.3219,4.3149,0,0,0.0,0
4.3075,4.3348,4.3075,4.3744,4.2909,4.386,4.2909,4.328512,,-0.0031290187092114508,4.319964285714286,4.3161,4.3075,0,0,0.0,0
4.3142,4.3348,4.3075,4.3744,4.2909,4.386,4.2909,4.327654,,-0.0032234854935060397,4.319842857142857,4.3149,4.3075,0,0,0.0,0
4.3315,4.3348,4.3075,4.3744,4.2909,4.386,4.2909,4.327036,,-0.0018807060738685877,4.321135714285715,4.3315,4.3075,0,0,0.0,0
4.3584,4.3584,4.3075,4.3744,4.2909,4.386,4.2909,4.327422,,0.0013386305776874607,4.323814285714286,4.3584,4.3142,0,0,0.0,0
4.3644,4.3644,4.3075,4.3744,4.2909,4.386,4.2909,4.3279179999999995,,0.004324280312350659,4.327021428571428,4.3644,4.3315,0,0,0.0,0
4.3461,4.3644,4.3075,4.3744,4.2909,4.386,4.2909,4.328431999999999,,0.0051543559698528085,4.328935714285714,4.3644,4.3461,0,0,0.0,0
4.3608,4.3644,4.3075,4.3744,4.2909,4.386,4.2909,4.329546000000001,,0.006918610619235821,4.331714285714286,4.3644,4.3461,0,0,0.0,0
4.3412,4.3644,4.3075,4.3744,4.2909,4.386,4.2909,4.33,,0.006658484083917671,4.33265,4.3608,4.3412,0,0,0.0,0
4.3399,4.3644,4.3075,4.3744,4.2909,4.386,4.2909,4.33008,,0.006275097378653172,4.333978571428571,4.3608,4.3399,0,0,0.0,0
4.35,4.3644,4.3075,4.3744,4.2909,4.386,4.2909,4.330356,,0.006708910103832011,4.3358357142857145,4.35,4.3399,0,0,0.0,0
4.3588,4.3644,4.3075,4.3744,4.2909,4.386,4.2909,4.330293999999999,,0.007674331354569297,4.337549999999999,4.3588,4.3399,0,0,0.0,0
4.3467,4.3644,4.3075,4.3712,4.2909,4.386,4.2909,4.32974,,0.007378016592558545,4.339321428571428,4.3588,4.3467,0,0,0.0,0
4.3426,4.3644,4.3075,4.3712,4.2909,4.386,4.2909,4.3296600000000005,,0.006734715664002522,4.341214285714286,4.3588,4.3426,0,0,0.0,0
4.3391,4.3644,4.3075,4.3712,4.2909,4.386,4.2909,4.329366,,0.005874753789333553,4.342942857142857,4.3467,4.3391,0,0,0.0,0
4.3393,4.3644,4.3142,4.3712,4.2909,4.386,4.2909,4.329094,,0.005150000140639932,4.3452142857142855,4.3426,4.3391,0,0,0.0,0
4.3421,4.3644,4.3315,4.3644,4.2909,4.386,4.2909,4.328512,,0.004746845570973157,4.347207142857143,4.3421,4.3391,0,0,0.0,0
