Close,Max_14,Min_14,Max_50,Min_50,Max_90,Min_90,MA_50,MA_200,MACD,ATR,Pivot_Points,Bearish_Candlestick_Patterns,label,Return_Since_Last_Buy,Days_Since_Last_Buy
32.814,32.915,32.7,32.925,31.97,,,32.58192,,0.09053373192709557,32.82328571428571,32.854,32.814,2,0.026399749765405104,67
32.77,32.915,32.7,32.925,31.97,,,32.59662,,0.07962632440133177,32.82521428571429,32.85,32.77,2,0.02502345949327508,68
32.605,32.915,32.605,32.925,31.97,,,32.60672,,0.0570108190817038,32.81842857142857,32.814,32.605,1,0.019862370972786925,69
32.68,32.915,32.605,32.925,32.052,,,32.62092,,0.04462532837165867,32.806571428571424,32.77,32.605,1,0.022208320300281543,70
32.737,32.915,32.605,32.925,32.052,,,32.63396,,0.03896005413020731,32.80278571428572,32.737,32.605,1,0.02399124178917745,73
32.745,32.915,32.605,32.925,32.232,,,32.647819999999996,,0.03471563637260289,32.7955,32.745,32.68,1,0.02424147638411006,74
32.736,32.915,32.605,32.925,32.232,,,32.65754,,0.03027666933888895,32.79128571428571,32.745,32.736,1,0.023959962464810705,75
32.627,32.915,32.605,32.925,32.232,,,32.659079999999996,,0.017758656200349776,32.777142857142856,32.745,32.627,1,0.02055051610885216,76
32.65,32.915,32.605,32.925,32.232,,,32.66328,,0.009583476035402327,32.767,32.736,32.627,1,0.021269940569283694,77
32.688,32.915,32.605,32.925,32.232,,,32.666199999999996,,0.0061005459798337824,32.755071428571426,32.688,32.627,1,0.022458554895214373,80
32.775,32.915,32.605,32.925,32.232,,,32.6682,,0.010242403674418199,32.74614285714286,32.775,32.65,2,0.025179856115107906,81
32.775,32.854,32.605,32.925,32.232,,,32.6719,,0.013370726327735838,32.73614285714286,32.775,32.688,2,0.025179856115107906,82
32.835,32.85,32.605,32.925,32.232,,,32.678,,0.02045564320622617,32.734785714285714,32.835,32.775,2,0.027056615577103597,83
32.91,32.91,32.605,32.925,32.232,,,32.6854,,0.031756297248279,32.73907142857143,32.91,32.775,2,0.02940256490459799,84
32.914,32.914,32.605,32.925,32.232,,,32.69188,,0.040567279221413344,32.74621428571429,32.914,32.835,2,0.029527682202064517,87
32.871,32.914,32.605,32.925,32.232,,,32.69744,,0.04357796561949101,32.75342857142857,32.914,32.871,2,0.028182671254301014,88
32.899,32.914,32.627,32.925,32.232,,,32.70294,,0.04767376874483631,32.77442857142857,32.914,32.871,2,0.029058492336565597,89
32.897,32.914,32.627,32.925,32.232,,,32.70822,,0.05017989633597608,32.789928571428575,32.899,32.871,2,0.02899593368783233,90
32.873,32.914,32.627,32.925,32.232,,,32.71158,,0.04965700602890877,32.79964285714286,32.899,32.873,2,0.028245229903034054,91
32.739,32.914,32.627,32.925,32.232,,,32.71086,,0.03799198363984857,32.799214285714285,32.897,32.739,1,0.02405380043791049,94
32.763,32.914,32.627,32.925,32.232,,,32.71304,,0.030334293920333266,32.80114285714286,32.873,32.739,1,0.024804504222708766,95
32.8,32.914,32.65,32.925,32.232,,,32.716120000000004,,0.02694055646007598,32.8135,32.8,32.739,2,0.025961839224272705,96
32.855,32.914,32.688,32.925,32.232,,,32.721019999999996,,0.02836209484352281,32.82814285714286,32.855,32.763,2,0.027682202064435345,97
32.94,32.94,32.739,32.94,32.232,,,32.73228,,0.03593324776681328,32.84614285714286,32.94,32.8,2,0.030340944635595838,98
32.914,32.94,32.739,32.94,32.232,,,32.74462,,0.0393814929600822,32.856071428571425,32.94,32.855,2,0.029527682202064517,101
